hum,windspeed,Predicted Y
0.51,0.1642,0.21166310070949534
0.51,0.1642,0.21166310070949534
0.47,0.1343,0.21902152701916267
0.51,0.1045,0.21166310070949534
0.59,0.0896,0.19694624809016076
0.59,0.0896,0.19694624809016076
0.8,0.0896,0.15831450996440735
0.86,0.2239,0.1472768704999064
0.86,0.2239,0.1472768704999064
0.93,0.1045,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.194,0.13439962445798861
0.86,0.0896,0.1472768704999064
0.93,0.1045,0.13439962445798861
0.93,0.0896,0.13439962445798861
0.86,0.0896,0.1472768704999064
0.86,0.1045,0.1472768704999064
0.86,0.1343,0.1472768704999064
0.86,0.1642,0.1472768704999064
0.93,0.1343,0.13439962445798861
0.69,0.1343,0.17855018231599248
0.59,0.1642,0.19694624809016076
0.59,0.3284,0.19694624809016076
0.55,0.2239,0.20430467439982802
0.51,0.3881,0.21166310070949534
0.47,0.5821,0.21902152701916267
0.44,0.3582,0.22454034675141316
0.47,0.3284,0.21902152701916267
0.47,0.4179,0.21902152701916267
0.44,0.3284,0.22454034675141316
0.47,0.3582,0.21902152701916267
0.47,0.5224,0.21902152701916267
0.47,0.4179,0.21902152701916267
0.5,0.3284,0.21350270728691217
0.55,0.3284,0.20430467439982802
0.55,0.4478,0.20430467439982802
0.59,0.4179,0.19694624809016076
0.59,0.2836,0.19694624809016076
0.5,0.2836,0.21350270728691217
0.5,0.3582,0.21350270728691217
0.5,0.3284,0.21350270728691217
0.5,0.2537,0.21350270728691217
0.5,0.2985,0.21350270728691217
0.54,0.1343,0.20614428097724485
0.54,0.1343,0.20614428097724485
0.5,0.194,0.21350270728691217
0.5,0.3284,0.21350270728691217
0.5,0.3582,0.21350270728691217
0.44,0.4478,0.22454034675141316
0.44,0.4179,0.22454034675141316
0.41,0.4478,0.23005916648366362
0.41,0.3881,0.23005916648366362
0.38,0.2985,0.23557798621591408
0.38,0.3582,0.23557798621591408
0.4,0.2836,0.23189877306108042
0.4,0.3284,0.23189877306108042
0.47,0.2537,0.21902152701916267
0.47,0.2239,0.21902152701916267
0.46,0.2985,0.2208611335965795
0.46,0.3284,0.2208611335965795
0.5,0.194,0.21350270728691217
0.5,0.194,0.21350270728691217
0.54,0.1642,0.20614428097724485
0.54,0.1343,0.20614428097724485
0.54,0.1045,0.20614428097724485
0.54,0.0896,0.20614428097724485
0.54,0.0,0.20614428097724485
0.74,0.1642,0.16935214942890833
0.68,0.0,0.1803897888934093
0.69,0.1343,0.17855018231599248
0.55,0.194,0.20430467439982802
0.51,0.2836,0.21166310070949534
0.44,0.2537,0.22454034675141316
0.37,0.3881,0.2374175927933309
0.41,0.2836,0.23005916648366362
0.38,0.1642,0.23557798621591408
0.41,0.1045,0.23005916648366362
0.41,0.1642,0.23005916648366362
0.47,0.0,0.21902152701916267
0.59,0.0896,0.19694624809016076
0.59,0.0,0.19694624809016076
0.69,0.0,0.17855018231599248
0.69,0.0,0.17855018231599248
0.55,0.0,0.20430467439982802
0.55,0.0,0.20430467439982802
0.59,0.0896,0.19694624809016076
0.59,0.0896,0.19694624809016076
0.59,0.0,0.19694624809016076
0.59,0.0,0.19694624809016076
0.59,0.0,0.19694624809016076
0.63,0.1045,0.18958782178049344
0.63,0.0,0.18958782178049344
0.63,0.1343,0.18958782178049344
0.64,0.1343,0.1877482152030766
0.59,0.1642,0.19694624809016076
0.55,0.2239,0.20430467439982802
0.48,0.2239,0.21718192044174583
0.38,0.2985,0.23557798621591408
0.39,0.2836,0.23373837963849725
0.36,0.194,0.23925719937074774
0.34,0.194,0.2429364125255814
0.36,0.2836,0.23925719937074774
0.45,0.2537,0.22270074017399633
0.39,0.2537,0.23373837963849725
0.39,0.2537,0.23373837963849725
0.39,0.2239,0.23373837963849725
0.42,0.1045,0.2282195599062468
0.45,0.2836,0.22270074017399633
0.56,0.0,0.2024650678224112
0.56,0.1343,0.2024650678224112
0.56,0.0896,0.2024650678224112
0.69,0.0,0.17855018231599248
0.56,0.1642,0.2024650678224112
0.56,0.1642,0.2024650678224112
0.56,0.1642,0.2024650678224112
0.56,0.2985,0.2024650678224112
0.55,0.2836,0.20430467439982802
0.51,0.2537,0.21166310070949534
0.51,0.2836,0.21166310070949534
0.44,0.2537,0.22454034675141316
0.41,0.2836,0.23005916648366362
0.35,0.2985,0.24109680594816457
0.36,0.2537,0.23925719937074774
0.38,0.2537,0.23557798621591408
0.38,0.2239,0.23557798621591408
0.37,0.2537,0.2374175927933309
0.4,0.1642,0.23189877306108042
0.47,0.1343,0.21902152701916267
0.47,0.1642,0.21902152701916267
0.51,0.1642,0.21166310070949534
0.49,0.1343,0.215342313864329
0.4,0.1045,0.23189877306108042
0.47,0.2239,0.21902152701916267
0.44,0.194,0.22454034675141316
0.43,0.2537,0.22637995332882996
0.43,0.194,0.22637995332882996
0.43,0.1343,0.22637995332882996
0.43,0.1642,0.22637995332882996
0.43,0.194,0.22637995332882996
0.5,0.1343,0.21350270728691217
0.47,0.2239,0.21902152701916267
0.47,0.2239,0.21902152701916267
0.5,0.2537,0.21350270728691217
0.55,0.194,0.20430467439982802
0.47,0.1343,0.21902152701916267
0.47,0.1343,0.21902152701916267
0.43,0.1045,0.22637995332882996
0.47,0.1642,0.21902152701916267
0.47,0.1642,0.21902152701916267
0.51,0.194,0.21166310070949534
0.55,0.2537,0.20430467439982802
0.59,0.194,0.19694624809016076
0.8,0.194,0.15831450996440735
0.8,0.194,0.15831450996440735
0.93,0.2537,0.13439962445798861
0.86,0.2836,0.1472768704999064
0.86,0.3284,0.1472768704999064
0.86,0.2239,0.1472768704999064
0.8,0.1642,0.15831450996440735
0.87,0.1642,0.14543726392248957
0.87,0.194,0.14543726392248957
0.82,0.194,0.15463529680957372
0.8,0.1642,0.15831450996440735
0.8,0.1343,0.15831450996440735
0.87,0.0,0.14543726392248957
0.93,0.1045,0.13439962445798861
0.93,0.0896,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.1343,0.13439962445798861
0.93,0.1343,0.13439962445798861
0.93,0.1343,0.13439962445798861
0.93,0.0896,0.13439962445798861
0.93,0.0896,0.13439962445798861
0.92,0.1045,0.13623923103540544
0.93,0.1045,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.93,0.1343,0.13439962445798861
0.87,0.0896,0.14543726392248957
0.81,0.0896,0.15647490338699052
0.62,0.2836,0.19142742835791027
0.58,0.2537,0.19878585466757756
0.54,0.2836,0.20614428097724485
0.58,0.3881,0.19878585466757756
0.57,0.3284,0.2006254612449944
0.61,0.2836,0.1932670349353271
0.57,0.4179,0.2006254612449944
0.49,0.2985,0.215342313864329
0.49,0.4179,0.215342313864329
0.52,0.1642,0.20982349413207851
0.52,0.4627,0.20982349413207851
0.56,0.3881,0.2024650678224112
0.56,0.0,0.2024650678224112
0.56,0.0,0.2024650678224112
0.56,0.1642,0.2024650678224112
0.56,0.1642,0.2024650678224112
0.6,0.2239,0.19510664151274393
0.6,0.2239,0.19510664151274393
0.55,0.2239,0.20430467439982802
0.55,0.2836,0.20430467439982802
0.52,0.2239,0.20982349413207851
0.48,0.2985,0.21718192044174583
0.45,0.1642,0.22270074017399633
0.42,0.0,0.2282195599062468
0.45,0.1045,0.22270074017399633
0.45,0.1343,0.22270074017399633
0.45,0.194,0.22270074017399633
0.49,0.1343,0.215342313864329
0.49,0.1045,0.215342313864329
0.56,0.194,0.2024650678224112
0.56,0.3284,0.2024650678224112
0.6,0.2836,0.19510664151274393
0.6,0.2537,0.19510664151274393
0.65,0.2836,0.18590860862565978
0.65,0.3284,0.18590860862565978
0.7,0.2537,0.17671057573857565
0.7,0.2537,0.17671057573857565
0.75,0.1642,0.1675125428514915
0.8,0.2985,0.15831450996440735
0.87,0.0896,0.14543726392248957
0.6,0.4179,0.19510664151274393
0.55,0.2537,0.20430467439982802
0.51,0.2836,0.21166310070949534
0.47,0.3284,0.21902152701916267
0.51,0.3582,0.21166310070949534
0.47,0.4627,0.21902152701916267
0.41,0.4627,0.23005916648366362
0.27,0.5821,0.25581365856749916
0.21,0.5821,0.26685129803200014
0.25,0.5224,0.2594928717223328
0.26,0.4478,0.25765326514491604
0.26,0.3582,0.25765326514491604
0.28,0.3582,0.2539740519900824
0.3,0.2537,0.2502948388352487
0.3,0.3284,0.2502948388352487
0.33,0.4179,0.24477601910299823
0.38,0.2836,0.23557798621591408
0.41,0.3881,0.23005916648366362
0.38,0.3284,0.23557798621591408
0.45,0.2537,0.22270074017399633
0.41,0.3881,0.23005916648366362
0.41,0.2537,0.23005916648366362
0.41,0.2836,0.23005916648366362
0.48,0.2985,0.21718192044174583
0.44,0.2239,0.22454034675141316
0.44,0.2836,0.22454034675141316
0.44,0.3284,0.22454034675141316
0.41,0.2537,0.23005916648366362
0.41,0.1642,0.23005916648366362
0.38,0.1343,0.23557798621591408
0.38,0.1045,0.23557798621591408
0.35,0.0,0.24109680594816457
0.33,0.1045,0.24477601910299823
0.28,0.0,0.2539740519900824
0.28,0.194,0.2539740519900824
0.28,0.0,0.2539740519900824
0.35,0.194,0.24109680594816457
0.35,0.1343,0.24109680594816457
0.45,0.1642,0.22270074017399633
0.41,0.0896,0.23005916648366362
0.49,0.0,0.215342313864329
0.57,0.1045,0.2006254612449944
0.57,0.1045,0.2006254612449944
0.57,0.1045,0.2006254612449944
0.62,0.1343,0.19142742835791027
0.62,0.1343,0.19142742835791027
0.57,0.1045,0.2006254612449944
0.57,0.1045,0.2006254612449944
0.58,0.1642,0.19878585466757756
0.62,0.1642,0.19142742835791027
0.54,0.3582,0.20614428097724485
0.46,0.3881,0.2208611335965795
0.43,0.2239,0.22637995332882996
0.37,0.4627,0.2374175927933309
0.33,0.3881,0.24477601910299823
0.28,0.3582,0.2539740519900824
0.28,0.3582,0.2539740519900824
0.26,0.3284,0.25765326514491604
0.26,0.3881,0.25765326514491604
0.3,0.2537,0.2502948388352487
0.3,0.2836,0.2502948388352487
0.36,0.2537,0.23925719937074774
0.36,0.194,0.23925719937074774
0.38,0.194,0.23557798621591408
0.41,0.2239,0.23005916648366362
0.41,0.194,0.23005916648366362
0.45,0.194,0.22270074017399633
0.45,0.2537,0.22270074017399633
0.48,0.1343,0.21718192044174583
0.48,0.1343,0.21718192044174583
0.48,0.0896,0.21718192044174583
0.48,0.0,0.21718192044174583
0.49,0.0,0.215342313864329
0.41,0.0,0.23005916648366362
0.42,0.0,0.2282195599062468
0.46,0.1343,0.2208611335965795
0.42,0.194,0.2282195599062468
0.43,0.2239,0.22637995332882996
0.46,0.2239,0.2208611335965795
0.4,0.1642,0.23189877306108042
0.47,0.2537,0.21902152701916267
0.5,0.2537,0.21350270728691217
0.59,0.194,0.19694624809016076
0.54,0.1642,0.20614428097724485
0.59,0.194,0.19694624809016076
0.63,0.1642,0.18958782178049344
0.63,0.2239,0.18958782178049344
0.64,0.2537,0.1877482152030766
0.69,0.2836,0.17855018231599248
0.69,0.1642,0.17855018231599248
0.69,0.2239,0.17855018231599248
0.74,0.1045,0.16935214942890833
0.74,0.2239,0.16935214942890833
0.74,0.1045,0.16935214942890833
0.74,0.2239,0.16935214942890833
0.74,0.1343,0.16935214942890833
0.64,0.0896,0.1877482152030766
0.6,0.1045,0.19510664151274393
0.6,0.1343,0.19510664151274393
0.56,0.0896,0.2024650678224112
0.56,0.1343,0.2024650678224112
0.45,0.0,0.22270074017399633
0.42,0.0,0.2282195599062468
0.42,0.0,0.2282195599062468
0.45,0.0,0.22270074017399633
0.49,0.0896,0.215342313864329
0.65,0.1642,0.18590860862565978
0.65,0.194,0.18590860862565978
0.65,0.194,0.18590860862565978
0.64,0.1642,0.1877482152030766
0.64,0.1642,0.1877482152030766
0.69,0.1343,0.17855018231599248
0.65,0.1343,0.18590860862565978
0.69,0.194,0.17855018231599248
0.86,0.2836,0.1472768704999064
0.86,0.2836,0.1472768704999064
0.87,0.2985,0.14543726392248957
0.87,0.2985,0.14543726392248957
0.87,0.2985,0.14543726392248957
0.93,0.2836,0.13439962445798861
0.93,0.3284,0.13439962445798861
0.93,0.3284,0.13439962445798861
0.93,0.3284,0.13439962445798861
0.93,0.3582,0.13439962445798861
0.93,0.4627,0.13439962445798861
0.93,0.3284,0.13439962445798861
0.93,0.3582,0.13439962445798861
0.55,0.194,0.20430467439982802
0.55,0.1045,0.20430467439982802
0.69,0.0896,0.17855018231599248
0.69,0.0896,0.17855018231599248
0.74,0.0896,0.16935214942890833
0.74,0.0896,0.16935214942890833
0.74,0.0896,0.16935214942890833
0.8,0.1642,0.15831450996440735
0.75,0.1343,0.1675125428514915
0.75,0.1343,0.1675125428514915
0.75,0.1642,0.1675125428514915
0.75,0.1045,0.1675125428514915
0.8,0.1045,0.15831450996440735
0.8,0.1343,0.15831450996440735
0.86,0.0896,0.1472768704999064
0.86,0.0896,0.1472768704999064
0.86,0.0896,0.1472768704999064
0.86,0.1045,0.1472768704999064
0.93,0.1045,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.8,0.0,0.15831450996440735
0.86,0.0,0.1472768704999064
0.8,0.0,0.15831450996440735
0.75,0.1343,0.1675125428514915
0.75,0.194,0.1675125428514915
0.75,0.1343,0.1675125428514915
0.7,0.194,0.17671057573857565
0.75,0.1343,0.1675125428514915
0.65,0.3582,0.18590860862565978
0.6,0.2239,0.19510664151274393
0.64,0.3582,0.1877482152030766
0.64,0.194,0.1877482152030766
0.64,0.1642,0.1877482152030766
0.64,0.1343,0.1877482152030766
0.69,0.1045,0.17855018231599248
0.64,0.1343,0.1877482152030766
0.59,0.1045,0.19694624809016076
0.55,0.1642,0.20430467439982802
0.59,0.0896,0.19694624809016076
0.64,0.1045,0.1877482152030766
0.64,0.1343,0.1877482152030766
0.59,0.194,0.19694624809016076
0.55,0.1642,0.20430467439982802
0.6,0.1343,0.19510664151274393
0.69,0.2537,0.17855018231599248
0.6,0.1642,0.19510664151274393
0.6,0.0,0.19510664151274393
0.69,0.1343,0.17855018231599248
0.69,0.2537,0.17855018231599248
0.74,0.0896,0.16935214942890833
0.74,0.0896,0.16935214942890833
0.8,0.0896,0.15831450996440735
0.8,0.0896,0.15831450996440735
0.8,0.1045,0.15831450996440735
0.8,0.0,0.15831450996440735
0.8,0.0,0.15831450996440735
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.86,0.0,0.1472768704999064
0.86,0.0,0.1472768704999064
0.86,0.0,0.1472768704999064
0.8,0.0,0.15831450996440735
0.8,0.0,0.15831450996440735
0.75,0.0,0.1675125428514915
0.52,0.1045,0.20982349413207851
0.61,0.1045,0.1932670349353271
0.61,0.0896,0.1932670349353271
0.56,0.0,0.2024650678224112
0.56,0.0,0.2024650678224112
0.56,0.194,0.2024650678224112
0.65,0.1642,0.18590860862565978
0.65,0.194,0.18590860862565978
0.65,0.1045,0.18590860862565978
0.7,0.1642,0.17671057573857565
0.7,0.194,0.17671057573857565
0.65,0.2836,0.18590860862565978
0.65,0.2239,0.18590860862565978
0.64,0.2537,0.1877482152030766
0.64,0.194,0.1877482152030766
0.64,0.194,0.1877482152030766
0.59,0.2239,0.19694624809016076
0.64,0.2836,0.1877482152030766
0.69,0.3284,0.17855018231599248
0.64,0.2836,0.1877482152030766
0.59,0.2836,0.19694624809016076
0.59,0.2985,0.19694624809016076
0.59,0.194,0.19694624809016076
0.59,0.194,0.19694624809016076
0.55,0.1045,0.20430467439982802
0.59,0.0,0.19694624809016076
0.55,0.1343,0.20430467439982802
0.59,0.1343,0.19694624809016076
0.56,0.194,0.2024650678224112
0.59,0.194,0.19694624809016076
0.55,0.2239,0.20430467439982802
0.61,0.1045,0.1932670349353271
0.59,0.1642,0.19694624809016076
0.59,0.0896,0.19694624809016076
0.59,0.1045,0.19694624809016076
0.64,0.0896,0.1877482152030766
0.64,0.1045,0.1877482152030766
0.69,0.1045,0.17855018231599248
0.69,0.0,0.17855018231599248
0.69,0.0,0.17855018231599248
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.93,0.0,0.13439962445798861
0.86,0.0,0.1472768704999064
0.86,0.0,0.1472768704999064
0.86,0.0,0.1472768704999064
0.8,0.0896,0.15831450996440735
0.75,0.0,0.1675125428514915
0.75,0.1343,0.1675125428514915
0.75,0.0,0.1675125428514915
0.81,0.1045,0.15647490338699052
0.81,0.1343,0.15647490338699052
0.87,0.1343,0.14543726392248957
0.87,0.1343,0.14543726392248957
0.87,0.0896,0.14543726392248957
0.93,0.194,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.93,0.194,0.13439962445798861
0.93,0.1343,0.13439962445798861
0.93,0.1343,0.13439962445798861
0.93,0.2836,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.93,0.1045,0.13439962445798861
0.93,0.2239,0.13439962445798861
0.93,0.2239,0.13439962445798861
0.93,0.0896,0.13439962445798861
1.0,0.0,0.12152237841607083
0.93,0.194,0.13439962445798861
0.93,0.2239,0.13439962445798861
0.93,0.1642,0.13439962445798861
0.82,0.3881,0.15463529680957372
0.76,0.3284,0.16567293627407467
0.71,0.2985,0.17487096916115882
0.53,0.5224,0.20798388755466168
0.42,0.5522,0.2282195599062468
0.45,0.4925,0.22270074017399633
0.48,0.5522,0.21718192044174583
0.47,0.3284,0.21902152701916267
0.44,0.2537,0.22454034675141316
0.44,0.4478,0.22454034675141316
0.4,0.4478,0.23189877306108042
0.44,0.5224,0.22454034675141316
0.43,0.2537,0.22637995332882996
0.43,0.2537,0.22637995332882996
0.5,0.2985,0.21350270728691217
0.43,0.3582,0.22637995332882996
0.5,0.3284,0.21350270728691217
0.5,0.3582,0.21350270728691217
0.47,0.2985,0.21902152701916267
0.43,0.3284,0.22637995332882996
0.43,0.4478,0.22637995332882996
0.4,0.3582,0.23189877306108042
0.4,0.4179,0.23189877306108042
0.37,0.3881,0.2374175927933309
0.37,0.3284,0.2374175927933309
0.37,0.2537,0.2374175927933309
0.4,0.194,0.23189877306108042
0.4,0.1642,0.23189877306108042
0.4,0.0,0.23189877306108042
0.47,0.0896,0.21902152701916267
0.55,0.1045,0.20430467439982802
0.51,0.0896,0.21166310070949534
0.47,0.1045,0.21902152701916267
0.44,0.0,0.22454034675141316
0.59,0.0,0.19694624809016076
0.63,0.1045,0.18958782178049344
0.63,0.1045,0.18958782178049344
0.63,0.1343,0.18958782178049344
0.55,0.0,0.20430467439982802
0.59,0.0,0.19694624809016076
0.74,0.1343,0.16935214942890833
0.8,0.1343,0.15831450996440735
0.51,0.1343,0.21166310070949534
0.51,0.1642,0.21166310070949534
0.48,0.1642,0.21718192044174583
0.5,0.2239,0.21350270728691217
0.45,0.1642,0.22270074017399633
0.48,0.2537,0.21718192044174583
0.42,0.2239,0.2282195599062468
0.56,0.1343,0.2024650678224112
0.6,0.1045,0.19510664151274393
0.65,0.1343,0.18590860862565978
0.65,0.1642,0.18590860862565978
0.7,0.1642,0.17671057573857565
0.65,0.1642,0.18590860862565978
0.7,0.1343,0.17671057573857565
0.7,0.1642,0.17671057573857565
0.65,0.1642,0.18590860862565978
0.75,0.1642,0.1675125428514915
0.75,0.1642,0.1675125428514915
0.93,0.1343,0.13439962445798861
