instant,hr,Predicted Y
87,18,11.603364623050245
88,19,11.603358042462528
89,20,11.60335146187481
90,21,11.603344881287093
91,22,11.603338300699376
92,23,11.603331720111658
93,0,11.60332513952394
94,1,11.603318558936223
95,2,11.603311978348506
96,4,11.603305397760789
97,5,11.603298817173071
98,6,11.603292236585354
99,7,11.603285655997636
100,8,11.603279075409919
101,9,11.603272494822201
102,10,11.603265914234484
103,11,11.603259333646767
104,12,11.60325275305905
105,13,11.603246172471332
106,14,11.603239591883614
107,15,11.603233011295897
108,16,11.60322643070818
109,17,11.603219850120462
110,18,11.603213269532745
111,19,11.603206688945027
112,20,11.60320010835731
113,21,11.603193527769593
114,22,11.603186947181875
115,23,11.603180366594158
116,0,11.60317378600644
117,1,11.603167205418723
118,2,11.603160624831006
119,4,11.603154044243288
120,5,11.60314746365557
121,6,11.603140883067853
122,7,11.603134302480136
123,8,11.603127721892418
124,9,11.603121141304701
125,10,11.603114560716984
126,11,11.603107980129266
127,12,11.603101399541549
128,13,11.603094818953831
129,14,11.603088238366114
130,15,11.603081657778397
131,16,11.60307507719068
132,17,11.603068496602962
133,18,11.603061916015244
134,19,11.603055335427527
135,20,11.60304875483981
136,21,11.603042174252092
137,22,11.603035593664375
138,23,11.603029013076657
139,0,11.603022432488942
140,1,11.603015851901224
141,2,11.603009271313507
142,4,11.60300269072579
143,5,11.602996110138072
144,6,11.602989529550355
145,7,11.602982948962637
146,8,11.60297636837492
147,9,11.602969787787202
148,10,11.602963207199485
149,11,11.602956626611768
150,12,11.60295004602405
151,13,11.602943465436333
152,14,11.602936884848615
153,15,11.602930304260898
154,16,11.60292372367318
155,17,11.602917143085463
156,18,11.602910562497746
157,19,11.602903981910028
158,20,11.602897401322311
159,21,11.602890820734594
160,22,11.602884240146876
161,23,11.602877659559159
162,0,11.602871078971441
163,1,11.602864498383724
164,2,11.602857917796007
165,3,11.602851337208289
166,4,11.602844756620572
167,5,11.602838176032854
168,6,11.602831595445137
169,7,11.60282501485742
170,8,11.602818434269702
171,9,11.602811853681985
172,10,11.602805273094267
173,11,11.60279869250655
174,12,11.602792111918832
175,13,11.602785531331115
176,14,11.602778950743398
177,15,11.60277237015568
178,16,11.602765789567963
179,17,11.602759208980245
180,18,11.602752628392528
181,19,11.60274604780481
182,20,11.602739467217093
183,21,11.602732886629376
184,22,11.602726306041658
185,23,11.602719725453941
186,0,11.602713144866224
187,1,11.602706564278506
188,2,11.602699983690789
189,3,11.602693403103071
190,4,11.602686822515354
191,5,11.602680241927636
192,6,11.602673661339919
193,7,11.602667080752202
194,8,11.602660500164484
195,9,11.602653919576767
196,10,11.60264733898905
197,11,11.602640758401332
198,12,11.602634177813615
199,13,11.602627597225897
200,14,11.60262101663818
201,15,11.602614436050462
202,16,11.602607855462745
203,17,11.602601274875028
204,18,11.60259469428731
205,19,11.602588113699593
206,20,11.602581533111875
207,21,11.602574952524158
208,22,11.60256837193644
209,23,11.602561791348723
210,0,11.602555210761006
211,1,11.602548630173288
212,2,11.602542049585571
213,3,11.602535468997853
214,4,11.602528888410136
215,5,11.602522307822419
216,6,11.602515727234701
217,7,11.602509146646984
218,8,11.602502566059266
219,9,11.602495985471549
220,10,11.602489404883832
221,11,11.602482824296114
222,12,11.602476243708397
223,13,11.60246966312068
224,14,11.602463082532962
225,15,11.602456501945245
226,16,11.602449921357527
227,17,11.60244334076981
228,18,11.602436760182092
229,19,11.602430179594375
230,20,11.602423599006658
231,21,11.60241701841894
232,22,11.602410437831224
233,23,11.602403857243507
234,0,11.60239727665579
235,1,11.602390696068072
236,2,11.602384115480355
237,5,11.602377534892637
238,6,11.60237095430492
239,7,11.602364373717203
240,8,11.602357793129485
241,9,11.602351212541768
242,10,11.60234463195405
243,11,11.602338051366333
244,12,11.602331470778616
245,13,11.602324890190898
246,14,11.60231830960318
247,15,11.602311729015463
248,16,11.602305148427746
249,17,11.602298567840029
250,18,11.602291987252311
251,19,11.602285406664594
252,20,11.602278826076876
253,21,11.602272245489159
254,22,11.602265664901442
255,23,11.602259084313724
256,0,11.602252503726007
257,1,11.60224592313829
258,2,11.602239342550572
259,5,11.602232761962854
260,6,11.602226181375137
261,7,11.60221960078742
262,8,11.602213020199702
263,9,11.602206439611985
264,10,11.602199859024267
265,11,11.60219327843655
266,12,11.602186697848833
267,13,11.602180117261115
268,14,11.602173536673398
269,15,11.60216695608568
270,16,11.602160375497963
271,17,11.602153794910246
272,18,11.602147214322528
273,19,11.60214063373481
274,20,11.602134053147093
275,21,11.602127472559376
276,22,11.602120891971659
277,23,11.602114311383941
278,0,11.602107730796224
279,1,11.602101150208506
280,2,11.602094569620789
281,3,11.602087989033071
282,4,11.602081408445354
283,5,11.602074827857637
284,6,11.60206824726992
285,7,11.602061666682202
286,8,11.602055086094484
287,9,11.602048505506767
288,10,11.60204192491905
289,11,11.602035344331332
290,12,11.602028763743615
291,13,11.602022183155897
292,14,11.60201560256818
293,15,11.602009021980463
294,16,11.602002441392745
295,17,11.601995860805028
296,18,11.60198928021731
297,19,11.601982699629593
298,20,11.601976119041876
299,21,11.601969538454158
300,22,11.60196295786644
301,23,11.601956377278723
302,0,11.601949796691006
303,1,11.601943216103288
304,2,11.601936635515571
305,3,11.601930054927854
306,5,11.601923474340136
307,6,11.601916893752419
308,7,11.601910313164701
309,8,11.601903732576984
310,9,11.601897151989267
311,10,11.60189057140155
312,11,11.601883990813832
313,12,11.601877410226114
314,13,11.601870829638397
315,14,11.60186424905068
316,15,11.601857668462962
317,16,11.601851087875245
318,17,11.601844507287527
319,18,11.60183792669981
320,19,11.601831346112093
321,20,11.601824765524375
322,21,11.601818184936658
323,22,11.60181160434894
324,23,11.601805023761223
325,0,11.601798443173507
326,1,11.60179186258579
327,2,11.601785281998072
328,3,11.601778701410355
329,4,11.601772120822638
330,5,11.60176554023492
331,6,11.601758959647203
332,7,11.601752379059485
333,8,11.601745798471768
334,9,11.60173921788405
335,10,11.601732637296333
336,11,11.601726056708616
337,12,11.601719476120898
338,13,11.601712895533181
339,14,11.601706314945464
340,15,11.601699734357746
341,16,11.601693153770029
342,17,11.601686573182311
343,18,11.601679992594594
344,19,11.601673412006877
345,20,11.601666831419159
346,21,11.601660250831442
347,22,11.601653670243724
348,23,11.601647089656007
349,0,11.60164050906829
350,1,11.601633928480572
351,2,11.601627347892855
352,3,11.601620767305137
353,4,11.60161418671742
354,5,11.601607606129702
355,6,11.601601025541985
356,7,11.601594444954268
357,8,11.60158786436655
358,9,11.601581283778833
359,10,11.601574703191115
360,11,11.601568122603398
361,12,11.60156154201568
362,13,11.601554961427963
363,14,11.601548380840246
364,15,11.601541800252528
365,16,11.601535219664811
366,17,11.601528639077094
367,18,11.601522058489376
368,19,11.601515477901659
369,20,11.601508897313941
370,21,11.601502316726224
371,22,11.601495736138506
372,23,11.601489155550789
373,0,11.601482574963072
374,1,11.601475994375354
375,2,11.601469413787637
376,3,11.60146283319992
377,4,11.601456252612202
378,5,11.601449672024485
379,6,11.601443091436767
380,7,11.60143651084905
381,8,11.601429930261332
382,9,11.601423349673615
383,10,11.601416769085898
384,11,11.60141018849818
385,12,11.601403607910463
386,13,11.601397027322745
387,14,11.601390446735028
388,15,11.60138386614731
389,16,11.601377285559593
390,17,11.601370704971876
391,18,11.601364124384158
392,19,11.601357543796441
393,20,11.601350963208723
394,21,11.601344382621006
395,22,11.601337802033289
396,23,11.601331221445571
397,12,11.601324640857854
398,13,11.601318060270136
399,14,11.601311479682419
400,15,11.601304899094702
401,16,11.601298318506984
402,17,11.601291737919267
403,18,11.60128515733155
404,19,11.601278576743832
405,20,11.601271996156115
406,21,11.601265415568397
407,22,11.60125883498068
408,23,11.601252254392962
409,0,11.601245673805245
410,1,11.601239093217528
411,2,11.60123251262981
412,4,11.601225932042093
413,5,11.601219351454375
414,6,11.601212770866658
415,7,11.60120619027894
416,8,11.601199609691223
417,9,11.601193029103507
418,10,11.60118644851579
419,11,11.601179867928073
420,12,11.601173287340355
421,13,11.601166706752638
422,14,11.60116012616492
423,15,11.601153545577203
424,16,11.601146964989486
425,17,11.601140384401768
426,18,11.60113380381405
427,19,11.601127223226333
428,20,11.601120642638616
429,21,11.601114062050899
430,22,11.601107481463181
431,23,11.601100900875464
432,0,11.601094320287746
433,1,11.601087739700029
434,2,11.601081159112312
435,3,11.601074578524594
436,4,11.601067997936877
437,5,11.60106141734916
438,6,11.601054836761442
439,7,11.601048256173724
440,8,11.601041675586007
441,9,11.60103509499829
442,10,11.601028514410572
443,11,11.601021933822855
444,12,11.601015353235137
445,13,11.60100877264742
446,14,11.601002192059703
447,15,11.600995611471985
448,16,11.600989030884268
449,17,11.60098245029655
450,18,11.600975869708833
451,19,11.600969289121116
452,20,11.600962708533398
453,21,11.60095612794568
454,22,11.600949547357963
455,23,11.600942966770246
456,0,11.600936386182529
457,1,11.600929805594811
458,2,11.600923225007094
459,3,11.600916644419376
460,4,11.600910063831659
461,5,11.600903483243941
462,6,11.600896902656224
463,7,11.600890322068507
464,8,11.60088374148079
465,9,11.600877160893072
466,10,11.600870580305354
467,11,11.600863999717637
468,12,11.60085741912992
469,13,11.600850838542202
470,14,11.600844257954485
471,15,11.600837677366767
472,16,11.60083109677905
473,17,11.600824516191333
474,18,11.600817935603615
475,19,11.600811355015898
476,20,11.60080477442818
477,21,11.600798193840463
478,22,11.600791613252746
479,23,11.600785032665028
480,0,11.60077845207731
481,1,11.600771871489593
482,2,11.600765290901876
483,3,11.600758710314159
484,4,11.600752129726441
485,6,11.600745549138724
486,7,11.600738968551006
487,8,11.600732387963289
488,9,11.600725807375571
489,10,11.600719226787854
490,11,11.600712646200137
491,12,11.60070606561242
492,13,11.600699485024702
493,14,11.600692904436984
494,15,11.600686323849267
495,16,11.60067974326155
496,17,11.600673162673832
497,18,11.600666582086115
498,19,11.600660001498397
499,20,11.60065342091068
500,21,11.600646840322963
501,22,11.600640259735245
502,23,11.600633679147528
503,0,11.60062709855981
504,1,11.600620517972093
505,2,11.600613937384376
506,3,11.600607356796658
507,5,11.60060077620894
508,6,11.600594195621223
509,7,11.600587615033506
510,8,11.60058103444579
511,9,11.600574453858073
512,10,11.600567873270355
513,11,11.600561292682638
514,12,11.60055471209492
515,13,11.600548131507203
516,14,11.600541550919486
517,15,11.600534970331768
518,16,11.600528389744051
519,17,11.600521809156334
520,18,11.600515228568616
521,19,11.600508647980899
522,20,11.600502067393181
523,21,11.600495486805464
524,22,11.600488906217747
525,23,11.60048232563003
526,0,11.600475745042312
527,1,11.600469164454594
528,3,11.600462583866877
529,4,11.60045600327916
530,5,11.600449422691442
531,6,11.600442842103725
532,7,11.600436261516007
533,8,11.60042968092829
534,9,11.600423100340572
535,10,11.600416519752855
536,11,11.600409939165138
537,12,11.60040335857742
538,13,11.600396777989703
539,14,11.600390197401985
540,15,11.600383616814268
541,16,11.60037703622655
542,17,11.600370455638833
543,18,11.600363875051116
544,19,11.600357294463398
545,20,11.600350713875681
546,21,11.600344133287964
547,22,11.600337552700246
548,23,11.600330972112529
549,0,11.600324391524811
550,1,11.600317810937094
551,2,11.600311230349377
552,4,11.600304649761659
553,5,11.600298069173942
554,6,11.600291488586224
555,7,11.600284907998507
556,8,11.60027832741079
557,9,11.600271746823072
558,10,11.600265166235355
559,11,11.600258585647637
560,12,11.60025200505992
561,13,11.600245424472202
562,14,11.600238843884485
563,15,11.600232263296768
564,16,11.60022568270905
565,17,11.600219102121333
566,18,11.600212521533615
567,19,11.600205940945898
568,20,11.60019936035818
569,21,11.600192779770463
570,22,11.600186199182746
571,23,11.600179618595028
572,0,11.600173038007311
573,1,11.600166457419594
574,2,11.600159876831876
575,5,11.600153296244159
576,6,11.600146715656441
577,7,11.600140135068724
578,8,11.600133554481006
579,9,11.600126973893289
580,10,11.600120393305572
581,11,11.600113812717854
582,12,11.600107232130137
583,13,11.60010065154242
584,14,11.600094070954702
585,15,11.600087490366985
586,16,11.600080909779267
587,17,11.60007432919155
588,16,11.600067748603832
589,17,11.600061168016115
590,18,11.600054587428398
591,19,11.60004800684068
592,20,11.600041426252963
593,21,11.600034845665245
594,22,11.600028265077528
595,23,11.60002168448981
596,0,11.600015103902093
597,1,11.600008523314376
598,2,11.600001942726658
599,3,11.599995362138941
600,5,11.599988781551223
601,6,11.599982200963506
602,7,11.599975620375789
603,8,11.599969039788073
604,9,11.599962459200356
605,10,11.599955878612638
606,11,11.59994929802492
607,12,11.599942717437203
608,13,11.599936136849486
609,14,11.599929556261769
610,15,11.599922975674051
611,16,11.599916395086334
612,17,11.599909814498616
613,18,11.599903233910899
614,19,11.599896653323182
615,20,11.599890072735464
616,21,11.599883492147747
617,22,11.59987691156003
618,23,11.599870330972312
619,0,11.599863750384594
620,1,11.599857169796877
621,2,11.59985058920916
622,3,11.599844008621442
623,4,11.599837428033725
624,6,11.599830847446007
625,7,11.59982426685829
626,8,11.599817686270573
627,9,11.599811105682855
628,10,11.599804525095138
629,11,11.59979794450742
630,12,11.599791363919703
631,13,11.599784783331986
632,14,11.599778202744268
633,15,11.59977162215655
634,16,11.599765041568833
635,17,11.599758460981116
636,18,11.599751880393399
637,19,11.599745299805681
638,20,11.599738719217964
639,21,11.599732138630246
640,22,11.599725558042529
641,23,11.599718977454812
642,0,11.599712396867094
643,1,11.599705816279377
644,2,11.59969923569166
645,3,11.599692655103942
646,4,11.599686074516224
647,5,11.599679493928507
648,7,11.59967291334079
649,8,11.599666332753072
650,9,11.599659752165355
651,10,11.599653171577637
652,11,11.59964659098992
653,12,11.599640010402203
654,13,11.599633429814485
655,14,11.599626849226768
656,15,11.59962026863905
657,16,11.599613688051333
658,17,11.599607107463616
659,18,11.599600526875898
660,19,11.59959394628818
661,20,11.599587365700463
662,21,11.599580785112746
663,22,11.599574204525029
664,23,11.599567623937311
665,0,11.599561043349594
666,1,11.599554462761876
667,2,11.599547882174159
668,3,11.599541301586441
669,4,11.599534720998724
670,5,11.599528140411007
671,6,11.59952155982329
672,7,11.599514979235572
673,8,11.599508398647854
674,9,11.599501818060137
675,10,11.59949523747242
676,11,11.599488656884702
677,12,11.599482076296985
678,13,11.599475495709267
679,14,11.59946891512155
680,15,11.599462334533833
681,16,11.599455753946115
682,17,11.599449173358398
683,18,11.59944259277068
684,19,11.599436012182963
685,20,11.599429431595246
686,21,11.599422851007528
687,22,11.59941627041981
688,23,11.599409689832093
689,0,11.599403109244376
690,1,11.599396528656658
691,2,11.599389948068941
692,3,11.599383367481224
693,5,11.599376786893506
694,6,11.599370206305789
695,7,11.599363625718073
696,8,11.599357045130356
697,9,11.599350464542638
698,10,11.599343883954921
699,11,11.599337303367204
700,12,11.599330722779486
701,13,11.599324142191769
702,14,11.599317561604051
703,15,11.599310981016334
704,16,11.599304400428617
705,17,11.5992978198409
706,18,11.599291239253182
707,19,11.599284658665464
708,20,11.599278078077747
709,21,11.59927149749003
710,22,11.599264916902312
711,23,11.599258336314595
712,0,11.599251755726877
713,1,11.59924517513916
714,2,11.599238594551442
715,3,11.599232013963725
716,4,11.599225433376008
717,5,11.59921885278829
718,6,11.599212272200573
719,7,11.599205691612855
720,8,11.599199111025138
721,9,11.59919253043742
722,10,11.599185949849703
723,11,11.599179369261986
724,12,11.599172788674268
725,13,11.599166208086551
726,14,11.599159627498834
727,15,11.599153046911116
728,16,11.599146466323399
729,17,11.599139885735681
730,18,11.599133305147964
731,19,11.599126724560247
732,20,11.599120143972529
733,21,11.599113563384812
734,22,11.599106982797094
735,23,11.599100402209377
736,0,11.59909382162166
737,1,11.599087241033942
738,2,11.599080660446225
739,3,11.599074079858507
740,5,11.59906749927079
741,6,11.599060918683072
742,7,11.599054338095355
743,8,11.599047757507638
744,9,11.59904117691992
745,10,11.599034596332203
746,11,11.599028015744485
747,12,11.599021435156768
748,13,11.59901485456905
749,14,11.599008273981333
750,15,11.599001693393616
751,16,11.598995112805898
752,17,11.598988532218181
753,18,11.598981951630464
754,19,11.598975371042746
755,20,11.598968790455029
756,21,11.598962209867311
757,22,11.598955629279594
758,23,11.598949048691876
759,0,11.598942468104159
760,1,11.598935887516442
761,2,11.598929306928724
762,3,11.598922726341007
763,5,11.59891614575329
764,6,11.598909565165572
765,7,11.598902984577855
766,8,11.598896403990137
767,9,11.59888982340242
768,10,11.598883242814702
769,11,11.598876662226985
770,12,11.598870081639268
771,13,11.59886350105155
772,14,11.598856920463833
773,15,11.598850339876115
774,16,11.598843759288398
775,17,11.59883717870068
776,18,11.598830598112963
777,19,11.598824017525246
778,20,11.598817436937528
779,21,11.598810856349811
780,22,11.598804275762093
781,23,11.598797695174376
782,0,11.598791114586659
783,1,11.598784533998941
784,2,11.598777953411224
785,3,11.598771372823506
786,4,11.598764792235789
787,5,11.598758211648072
788,6,11.598751631060356
789,7,11.598745050472639
790,8,11.598738469884921
791,9,11.598731889297204
792,10,11.598725308709486
793,11,11.598718728121769
794,12,11.598712147534052
795,13,11.598705566946334
796,14,11.598698986358617
797,15,11.5986924057709
798,16,11.598685825183182
799,17,11.598679244595465
800,18,11.598672664007747
801,19,11.59866608342003
802,20,11.598659502832312
803,21,11.598652922244595
804,22,11.598646341656877
805,23,11.59863976106916
806,0,11.598633180481443
807,1,11.598626599893725
808,2,11.598620019306008
809,3,11.59861343871829
810,4,11.598606858130573
811,5,11.598600277542856
812,6,11.598593696955138
813,7,11.59858711636742
814,8,11.598580535779703
815,9,11.598573955191986
816,10,11.598567374604269
817,11,11.598560794016551
818,12,11.598554213428834
819,13,11.598547632841116
820,14,11.598541052253399
821,15,11.598534471665682
822,16,11.598527891077964
823,17,11.598521310490247
824,18,11.59851472990253
825,19,11.598508149314812
826,20,11.598501568727094
827,21,11.598494988139377
828,22,11.59848840755166
829,23,11.598481826963942
830,0,11.598475246376225
831,1,11.598468665788507
832,2,11.59846208520079
833,3,11.598455504613073
834,4,11.598448924025355
835,5,11.598442343437638
836,6,11.59843576284992
837,7,11.598429182262203
838,8,11.598422601674486
839,9,11.598416021086768
840,10,11.59840944049905
841,11,11.598402859911333
842,12,11.598396279323616
843,13,11.598389698735899
844,14,11.598383118148181
845,15,11.598376537560464
846,16,11.598369956972746
847,17,11.598363376385029
848,18,11.598356795797311
849,19,11.598350215209594
850,20,11.598343634621877
851,21,11.59833705403416
852,22,11.598330473446442
853,23,11.598323892858724
854,0,11.598317312271007
855,1,11.59831073168329
856,2,11.598304151095572
857,3,11.598297570507855
858,4,11.598290989920137
859,5,11.59828440933242
860,6,11.598277828744703
861,7,11.598271248156985
862,8,11.598264667569268
863,9,11.59825808698155
864,10,11.598251506393833
865,11,11.598244925806116
866,12,11.598238345218398
867,13,11.59823176463068
868,14,11.598225184042963
869,15,11.598218603455246
870,16,11.598212022867529
871,17,11.598205442279811
872,18,11.598198861692094
873,19,11.598192281104376
874,20,11.598185700516659
875,21,11.598179119928941
876,22,11.598172539341224
877,23,11.598165958753507
878,0,11.59815937816579
879,1,11.598152797578072
880,2,11.598146216990354
881,3,11.598139636402639
882,5,11.598133055814921
883,6,11.598126475227204
884,7,11.598119894639487
885,8,11.59811331405177
886,9,11.598106733464052
887,10,11.598100152876334
888,11,11.598093572288617
889,12,11.5980869917009
890,13,11.598080411113182
891,14,11.598073830525465
892,15,11.598067249937747
893,16,11.59806066935003
894,17,11.598054088762312
895,18,11.598047508174595
896,19,11.598040927586878
897,20,11.59803434699916
898,21,11.598027766411443
899,22,11.598021185823725
900,23,11.598014605236008
901,0,11.59800802464829
902,1,11.598001444060573
903,2,11.597994863472856
904,4,11.597988282885138
905,5,11.597981702297421
906,6,11.597975121709704
907,7,11.597968541121986
908,8,11.597961960534269
909,9,11.597955379946551
910,10,11.597948799358834
911,11,11.597942218771117
912,12,11.5979356381834
913,13,11.597929057595682
914,14,11.597922477007964
915,15,11.597915896420247
916,16,11.59790931583253
917,17,11.597902735244812
918,18,11.597896154657095
919,19,11.597889574069377
920,20,11.59788299348166
921,21,11.597876412893942
922,22,11.597869832306225
923,23,11.597863251718508
924,0,11.59785667113079
925,1,11.597850090543073
926,2,11.597843509955355
927,5,11.597836929367638
928,6,11.59783034877992
929,7,11.597823768192203
930,8,11.597817187604486
931,9,11.597810607016768
932,10,11.597804026429051
933,11,11.597797445841334
934,12,11.597790865253616
935,13,11.597784284665899
936,14,11.597777704078181
937,15,11.597771123490464
938,16,11.597764542902746
939,17,11.597757962315029
940,18,11.597751381727312
941,19,11.597744801139594
942,20,11.597738220551877
943,21,11.59773163996416
944,22,11.597725059376442
945,23,11.597718478788725
946,0,11.597711898201007
947,1,11.59770531761329
948,2,11.597698737025572
949,3,11.597692156437855
950,4,11.597685575850138
951,5,11.59767899526242
952,6,11.597672414674703
953,7,11.597665834086985
954,8,11.597659253499268
955,9,11.59765267291155
956,10,11.597646092323833
957,11,11.597639511736116
958,12,11.597632931148398
959,13,11.597626350560681
960,14,11.597619769972964
961,15,11.597613189385246
962,16,11.597606608797529
963,17,11.597600028209811
964,18,11.597593447622094
965,19,11.597586867034376
966,20,11.597580286446659
967,21,11.597573705858942
968,22,11.597567125271224
969,23,11.597560544683507
970,0,11.59755396409579
971,1,11.597547383508072
972,2,11.597540802920355
973,3,11.597534222332639
974,4,11.597527641744922
975,6,11.597521061157204
976,7,11.597514480569487
977,8,11.59750789998177
978,9,11.597501319394052
979,10,11.597494738806335
980,11,11.597488158218617
981,12,11.5974815776309
982,13,11.597474997043182
983,14,11.597468416455465
984,15,11.597461835867747
985,16,11.59745525528003
986,17,11.597448674692313
987,18,11.597442094104595
988,19,11.597435513516878
989,20,11.59742893292916
990,21,11.597422352341443
991,22,11.597415771753726
992,23,11.597409191166008
993,0,11.59740261057829
994,1,11.597396029990573
995,2,11.597389449402856
996,3,11.597382868815139
997,4,11.597376288227421
998,5,11.597369707639704
999,6,11.597363127051986
1000,7,11.597356546464269
1001,8,11.597349965876552
1002,9,11.597343385288834
1003,10,11.597336804701117
1004,11,11.5973302241134
1005,12,11.597323643525682
1006,13,11.597317062937964
1007,14,11.597310482350247
1008,15,11.59730390176253
1009,16,11.597297321174812
1010,17,11.597290740587095
1011,18,11.597284159999377
1012,19,11.59727757941166
1013,20,11.597270998823943
1014,21,11.597264418236225
1015,22,11.597257837648508
1016,23,11.59725125706079
1017,0,11.597244676473073
1018,1,11.597238095885356
1019,2,11.597231515297638
1020,4,11.59722493470992
1021,5,11.597218354122203
1022,6,11.597211773534486
1023,7,11.597205192946769
1024,8,11.597198612359051
1025,9,11.597192031771334
1026,10,11.597185451183616
1027,11,11.597178870595899
1028,12,11.597172290008182
1029,13,11.597165709420464
1030,14,11.597159128832747
1031,15,11.59715254824503
1032,16,11.597145967657312
1033,17,11.597139387069594
1034,18,11.597132806481877
1035,19,11.59712622589416
1036,20,11.597119645306442
1037,21,11.597113064718725
1038,22,11.597106484131007
1039,23,11.59709990354329
1040,0,11.597093322955573
1041,1,11.597086742367855
1042,3,11.597080161780138
1043,4,11.59707358119242
1044,5,11.597067000604703
1045,6,11.597060420016986
1046,7,11.597053839429268
1047,8,11.59704725884155
1048,9,11.597040678253833
1049,10,11.597034097666116
1050,11,11.597027517078399
1051,12,11.597020936490681
1052,13,11.597014355902964
1053,14,11.597007775315246
1054,15,11.597001194727529
1055,16,11.596994614139811
1056,17,11.596988033552094
1057,18,11.596981452964377
1058,19,11.59697487237666
1059,20,11.596968291788942
1060,21,11.596961711201224
1061,22,11.596955130613507
1062,23,11.59694855002579
1063,0,11.596941969438072
1064,1,11.596935388850355
1065,2,11.596928808262637
1066,3,11.596922227674922
1067,4,11.596915647087204
1068,5,11.596909066499487
1069,6,11.59690248591177
1070,7,11.596895905324052
1071,8,11.596889324736335
1072,9,11.596882744148617
1073,10,11.5968761635609
1074,11,11.596869582973182
1075,12,11.596863002385465
1076,13,11.596856421797748
1077,14,11.59684984121003
1078,15,11.596843260622313
1079,16,11.596836680034595
1080,17,11.596830099446878
1081,18,11.59682351885916
1082,19,11.596816938271443
1083,20,11.596810357683726
1084,21,11.596803777096008
1085,22,11.596797196508291
1086,23,11.596790615920574
1087,0,11.596784035332856
1088,1,11.596777454745139
1089,2,11.596770874157421
1090,3,11.596764293569704
1091,4,11.596757712981987
1092,5,11.59675113239427
1093,6,11.596744551806552
1094,7,11.596737971218834
1095,8,11.596731390631117
1096,9,11.5967248100434
1097,10,11.596718229455682
1098,11,11.596711648867965
1099,12,11.596705068280247
1100,13,11.59669848769253
1101,14,11.596691907104812
1102,15,11.596685326517095
1103,16,11.596678745929378
1104,17,11.59667216534166
1105,18,11.596665584753943
1106,19,11.596659004166225
1107,20,11.596652423578508
1108,21,11.59664584299079
1109,22,11.596639262403073
1110,23,11.596632681815356
1111,0,11.596626101227638
1112,1,11.596619520639921
1113,2,11.596612940052204
1114,3,11.596606359464486
1115,4,11.596599778876769
1116,5,11.596593198289051
1117,6,11.596586617701334
1118,7,11.596580037113617
1119,8,11.596573456525899
1120,9,11.596566875938182
1121,10,11.596560295350464
1122,11,11.596553714762747
1123,12,11.59654713417503
1124,13,11.596540553587312
1125,14,11.596533972999595
1126,15,11.596527392411877
1127,16,11.59652081182416
1128,17,11.596514231236442
1129,18,11.596507650648725
1130,19,11.596501070061008
1131,20,11.59649448947329
1132,21,11.596487908885573
1133,22,11.596481328297855
1134,23,11.596474747710138
1135,0,11.59646816712242
1136,1,11.596461586534703
1137,2,11.596455005946986
1138,3,11.596448425359268
1139,4,11.596441844771551
1140,6,11.596435264183834
1141,7,11.596428683596116
1142,8,11.596422103008399
1143,9,11.596415522420681
1144,10,11.596408941832964
1145,11,11.596402361245246
1146,12,11.596395780657529
1147,13,11.596389200069812
1148,14,11.596382619482094
1149,15,11.596376038894377
1150,16,11.59636945830666
1151,17,11.596362877718942
