hr,instant,Predicted Y
16,178,8674.57144510181
17,179,8671.106882989272
18,180,8667.642320876734
19,181,8664.177758764195
20,182,8660.713196651657
21,183,8657.248634539119
22,184,8653.78407242658
23,185,8650.319510314042
0,186,8730.004438902419
1,187,8726.53987678988
2,188,8723.075314677342
3,189,8719.610752564804
4,190,8716.146190452266
5,191,8712.68162833973
6,192,8709.217066227191
7,193,8705.752504114653
8,194,8702.287942002115
9,195,8698.823379889576
10,196,8695.358817777038
11,197,8691.8942556645
12,198,8688.429693551961
13,199,8684.965131439423
14,200,8681.500569326885
15,201,8678.036007214349
16,202,8674.57144510181
17,203,8671.106882989272
18,204,8667.642320876734
19,205,8664.177758764195
20,206,8660.713196651657
21,207,8657.248634539119
22,208,8653.78407242658
23,209,8650.319510314042
0,210,8730.004438902419
1,211,8726.53987678988
2,212,8723.075314677342
3,213,8719.610752564804
4,214,8716.146190452266
5,215,8712.68162833973
6,216,8709.217066227191
7,217,8705.752504114653
8,218,8702.287942002115
9,219,8698.823379889576
10,220,8695.358817777038
11,221,8691.8942556645
12,222,8688.429693551961
13,223,8684.965131439423
14,224,8681.500569326885
15,225,8678.036007214349
16,226,8674.57144510181
17,227,8671.106882989272
18,228,8667.642320876734
19,229,8664.177758764195
20,230,8660.713196651657
21,231,8657.248634539119
22,232,8653.78407242658
23,233,8650.319510314042
0,234,8730.004438902419
1,235,8726.53987678988
2,236,8723.075314677342
5,237,8712.68162833973
6,238,8709.217066227191
7,239,8705.752504114653
8,240,8702.287942002115
9,241,8698.823379889576
10,242,8695.358817777038
11,243,8691.8942556645
12,244,8688.429693551961
13,245,8684.965131439423
14,246,8681.500569326885
15,247,8678.036007214349
16,248,8674.57144510181
17,249,8671.106882989272
18,250,8667.642320876734
19,251,8664.177758764195
20,252,8660.713196651657
21,253,8657.248634539119
22,254,8653.78407242658
23,255,8650.319510314042
0,256,8730.004438902419
1,257,8726.53987678988
2,258,8723.075314677342
5,259,8712.68162833973
6,260,8709.217066227191
7,261,8705.752504114653
8,262,8702.287942002115
9,263,8698.823379889576
10,264,8695.358817777038
11,265,8691.8942556645
12,266,8688.429693551961
13,267,8684.965131439423
14,268,8681.500569326885
15,269,8678.036007214349
16,270,8674.57144510181
17,271,8671.106882989272
18,272,8667.642320876734
19,273,8664.177758764195
20,274,8660.713196651657
21,275,8657.248634539119
22,276,8653.78407242658
23,277,8650.319510314042
0,278,8730.004438902419
1,279,8726.53987678988
2,280,8723.075314677342
3,281,8719.610752564804
4,282,8716.146190452266
5,283,8712.68162833973
6,284,8709.217066227191
7,285,8705.752504114653
8,286,8702.287942002115
9,287,8698.823379889576
10,288,8695.358817777038
11,289,8691.8942556645
12,290,8688.429693551961
13,291,8684.965131439423
14,292,8681.500569326885
15,293,8678.036007214349
16,294,8674.57144510181
17,295,8671.106882989272
18,296,8667.642320876734
19,297,8664.177758764195
20,298,8660.713196651657
21,299,8657.248634539119
22,300,8653.78407242658
23,301,8650.319510314042
0,302,8730.004438902419
1,303,8726.53987678988
2,304,8723.075314677342
3,305,8719.610752564804
5,306,8712.68162833973
6,307,8709.217066227191
7,308,8705.752504114653
8,309,8702.287942002115
9,310,8698.823379889576
10,311,8695.358817777038
11,312,8691.8942556645
12,313,8688.429693551961
13,314,8684.965131439423
14,315,8681.500569326885
15,316,8678.036007214349
16,317,8674.57144510181
17,318,8671.106882989272
18,319,8667.642320876734
19,320,8664.177758764195
20,321,8660.713196651657
21,322,8657.248634539119
22,323,8653.78407242658
23,324,8650.319510314042
0,325,8730.004438902419
1,326,8726.53987678988
2,327,8723.075314677342
3,328,8719.610752564804
4,329,8716.146190452266
5,330,8712.68162833973
6,331,8709.217066227191
7,332,8705.752504114653
8,333,8702.287942002115
9,334,8698.823379889576
10,335,8695.358817777038
11,336,8691.8942556645
12,337,8688.429693551961
13,338,8684.965131439423
14,339,8681.500569326885
15,340,8678.036007214349
16,341,8674.57144510181
17,342,8671.106882989272
18,343,8667.642320876734
19,344,8664.177758764195
20,345,8660.713196651657
21,346,8657.248634539119
22,347,8653.78407242658
23,348,8650.319510314042
0,349,8730.004438902419
1,350,8726.53987678988
2,351,8723.075314677342
3,352,8719.610752564804
4,353,8716.146190452266
5,354,8712.68162833973
6,355,8709.217066227191
7,356,8705.752504114653
8,357,8702.287942002115
9,358,8698.823379889576
10,359,8695.358817777038
11,360,8691.8942556645
12,361,8688.429693551961
13,362,8684.965131439423
14,363,8681.500569326885
15,364,8678.036007214349
16,365,8674.57144510181
17,366,8671.106882989272
18,367,8667.642320876734
19,368,8664.177758764195
20,369,8660.713196651657
21,370,8657.248634539119
22,371,8653.78407242658
23,372,8650.319510314042
0,373,8730.004438902419
1,374,8726.53987678988
2,375,8723.075314677342
3,376,8719.610752564804
4,377,8716.146190452266
5,378,8712.68162833973
6,379,8709.217066227191
7,380,8705.752504114653
8,381,8702.287942002115
9,382,8698.823379889576
10,383,8695.358817777038
11,384,8691.8942556645
12,385,8688.429693551961
13,386,8684.965131439423
14,387,8681.500569326885
15,388,8678.036007214349
16,389,8674.57144510181
17,390,8671.106882989272
18,391,8667.642320876734
19,392,8664.177758764195
20,393,8660.713196651657
21,394,8657.248634539119
22,395,8653.78407242658
23,396,8650.319510314042
12,397,8688.429693551961
13,398,8684.965131439423
14,399,8681.500569326885
15,400,8678.036007214349
16,401,8674.57144510181
17,402,8671.106882989272
18,403,8667.642320876734
19,404,8664.177758764195
20,405,8660.713196651657
21,406,8657.248634539119
22,407,8653.78407242658
23,408,8650.319510314042
0,409,8730.004438902419
1,410,8726.53987678988
2,411,8723.075314677342
4,412,8716.146190452266
5,413,8712.68162833973
6,414,8709.217066227191
7,415,8705.752504114653
8,416,8702.287942002115
9,417,8698.823379889576
10,418,8695.358817777038
11,419,8691.8942556645
12,420,8688.429693551961
13,421,8684.965131439423
14,422,8681.500569326885
15,423,8678.036007214349
16,424,8674.57144510181
17,425,8671.106882989272
18,426,8667.642320876734
19,427,8664.177758764195
20,428,8660.713196651657
21,429,8657.248634539119
22,430,8653.78407242658
23,431,8650.319510314042
0,432,8730.004438902419
1,433,8726.53987678988
2,434,8723.075314677342
3,435,8719.610752564804
4,436,8716.146190452266
5,437,8712.68162833973
6,438,8709.217066227191
7,439,8705.752504114653
8,440,8702.287942002115
9,441,8698.823379889576
10,442,8695.358817777038
11,443,8691.8942556645
12,444,8688.429693551961
13,445,8684.965131439423
14,446,8681.500569326885
15,447,8678.036007214349
16,448,8674.57144510181
17,449,8671.106882989272
18,450,8667.642320876734
19,451,8664.177758764195
20,452,8660.713196651657
21,453,8657.248634539119
22,454,8653.78407242658
23,455,8650.319510314042
0,456,8730.004438902419
1,457,8726.53987678988
2,458,8723.075314677342
3,459,8719.610752564804
4,460,8716.146190452266
5,461,8712.68162833973
6,462,8709.217066227191
7,463,8705.752504114653
8,464,8702.287942002115
9,465,8698.823379889576
10,466,8695.358817777038
11,467,8691.8942556645
12,468,8688.429693551961
13,469,8684.965131439423
14,470,8681.500569326885
15,471,8678.036007214349
16,472,8674.57144510181
17,473,8671.106882989272
18,474,8667.642320876734
19,475,8664.177758764195
20,476,8660.713196651657
21,477,8657.248634539119
22,478,8653.78407242658
23,479,8650.319510314042
0,480,8730.004438902419
1,481,8726.53987678988
2,482,8723.075314677342
3,483,8719.610752564804
4,484,8716.146190452266
6,485,8709.217066227191
7,486,8705.752504114653
8,487,8702.287942002115
9,488,8698.823379889576
10,489,8695.358817777038
11,490,8691.8942556645
12,491,8688.429693551961
13,492,8684.965131439423
14,493,8681.500569326885
15,494,8678.036007214349
16,495,8674.57144510181
17,496,8671.106882989272
18,497,8667.642320876734
19,498,8664.177758764195
20,499,8660.713196651657
21,500,8657.248634539119
22,501,8653.78407242658
23,502,8650.319510314042
0,503,8730.004438902419
1,504,8726.53987678988
2,505,8723.075314677342
3,506,8719.610752564804
5,507,8712.68162833973
6,508,8709.217066227191
7,509,8705.752504114653
8,510,8702.287942002115
9,511,8698.823379889576
10,512,8695.358817777038
11,513,8691.8942556645
12,514,8688.429693551961
13,515,8684.965131439423
14,516,8681.500569326885
15,517,8678.036007214349
16,518,8674.57144510181
17,519,8671.106882989272
18,520,8667.642320876734
19,521,8664.177758764195
20,522,8660.713196651657
21,523,8657.248634539119
22,524,8653.78407242658
23,525,8650.319510314042
0,526,8730.004438902419
1,527,8726.53987678988
3,528,8719.610752564804
4,529,8716.146190452266
5,530,8712.68162833973
6,531,8709.217066227191
7,532,8705.752504114653
8,533,8702.287942002115
9,534,8698.823379889576
10,535,8695.358817777038
11,536,8691.8942556645
12,537,8688.429693551961
13,538,8684.965131439423
14,539,8681.500569326885
15,540,8678.036007214349
16,541,8674.57144510181
17,542,8671.106882989272
18,543,8667.642320876734
19,544,8664.177758764195
20,545,8660.713196651657
21,546,8657.248634539119
22,547,8653.78407242658
23,548,8650.319510314042
0,549,8730.004438902419
1,550,8726.53987678988
2,551,8723.075314677342
4,552,8716.146190452266
5,553,8712.68162833973
6,554,8709.217066227191
7,555,8705.752504114653
8,556,8702.287942002115
9,557,8698.823379889576
10,558,8695.358817777038
11,559,8691.8942556645
12,560,8688.429693551961
13,561,8684.965131439423
14,562,8681.500569326885
15,563,8678.036007214349
16,564,8674.57144510181
17,565,8671.106882989272
18,566,8667.642320876734
19,567,8664.177758764195
20,568,8660.713196651657
21,569,8657.248634539119
22,570,8653.78407242658
23,571,8650.319510314042
0,572,8730.004438902419
1,573,8726.53987678988
2,574,8723.075314677342
5,575,8712.68162833973
6,576,8709.217066227191
7,577,8705.752504114653
8,578,8702.287942002115
9,579,8698.823379889576
10,580,8695.358817777038
11,581,8691.8942556645
12,582,8688.429693551961
13,583,8684.965131439423
14,584,8681.500569326885
15,585,8678.036007214349
16,586,8674.57144510181
17,587,8671.106882989272
16,588,8674.57144510181
17,589,8671.106882989272
18,590,8667.642320876734
19,591,8664.177758764195
20,592,8660.713196651657
21,593,8657.248634539119
22,594,8653.78407242658
23,595,8650.319510314042
0,596,8730.004438902419
1,597,8726.53987678988
2,598,8723.075314677342
3,599,8719.610752564804
5,600,8712.68162833973
6,601,8709.217066227191
7,602,8705.752504114653
8,603,8702.287942002115
9,604,8698.823379889576
10,605,8695.358817777038
11,606,8691.8942556645
12,607,8688.429693551961
13,608,8684.965131439423
14,609,8681.500569326885
15,610,8678.036007214349
16,611,8674.57144510181
17,612,8671.106882989272
18,613,8667.642320876734
19,614,8664.177758764195
20,615,8660.713196651657
21,616,8657.248634539119
22,617,8653.78407242658
23,618,8650.319510314042
0,619,8730.004438902419
1,620,8726.53987678988
2,621,8723.075314677342
3,622,8719.610752564804
4,623,8716.146190452266
6,624,8709.217066227191
7,625,8705.752504114653
8,626,8702.287942002115
9,627,8698.823379889576
10,628,8695.358817777038
11,629,8691.8942556645
12,630,8688.429693551961
13,631,8684.965131439423
14,632,8681.500569326885
15,633,8678.036007214349
16,634,8674.57144510181
17,635,8671.106882989272
18,636,8667.642320876734
19,637,8664.177758764195
20,638,8660.713196651657
21,639,8657.248634539119
22,640,8653.78407242658
23,641,8650.319510314042
0,642,8730.004438902419
1,643,8726.53987678988
2,644,8723.075314677342
3,645,8719.610752564804
4,646,8716.146190452266
5,647,8712.68162833973
7,648,8705.752504114653
8,649,8702.287942002115
9,650,8698.823379889576
10,651,8695.358817777038
11,652,8691.8942556645
12,653,8688.429693551961
13,654,8684.965131439423
14,655,8681.500569326885
15,656,8678.036007214349
16,657,8674.57144510181
17,658,8671.106882989272
18,659,8667.642320876734
19,660,8664.177758764195
20,661,8660.713196651657
21,662,8657.248634539119
22,663,8653.78407242658
23,664,8650.319510314042
0,665,8730.004438902419
1,666,8726.53987678988
2,667,8723.075314677342
3,668,8719.610752564804
4,669,8716.146190452266
5,670,8712.68162833973
6,671,8709.217066227191
7,672,8705.752504114653
8,673,8702.287942002115
9,674,8698.823379889576
10,675,8695.358817777038
11,676,8691.8942556645
12,677,8688.429693551961
13,678,8684.965131439423
14,679,8681.500569326885
15,680,8678.036007214349
16,681,8674.57144510181
17,682,8671.106882989272
18,683,8667.642320876734
19,684,8664.177758764195
20,685,8660.713196651657
21,686,8657.248634539119
22,687,8653.78407242658
23,688,8650.319510314042
0,689,8730.004438902419
1,690,8726.53987678988
2,691,8723.075314677342
3,692,8719.610752564804
5,693,8712.68162833973
6,694,8709.217066227191
7,695,8705.752504114653
8,696,8702.287942002115
9,697,8698.823379889576
10,698,8695.358817777038
11,699,8691.8942556645
12,700,8688.429693551961
13,701,8684.965131439423
14,702,8681.500569326885
15,703,8678.036007214349
16,704,8674.57144510181
17,705,8671.106882989272
18,706,8667.642320876734
19,707,8664.177758764195
20,708,8660.713196651657
21,709,8657.248634539119
22,710,8653.78407242658
23,711,8650.319510314042
0,712,8730.004438902419
1,713,8726.53987678988
2,714,8723.075314677342
3,715,8719.610752564804
4,716,8716.146190452266
5,717,8712.68162833973
6,718,8709.217066227191
7,719,8705.752504114653
8,720,8702.287942002115
9,721,8698.823379889576
10,722,8695.358817777038
11,723,8691.8942556645
12,724,8688.429693551961
13,725,8684.965131439423
14,726,8681.500569326885
15,727,8678.036007214349
16,728,8674.57144510181
17,729,8671.106882989272
18,730,8667.642320876734
19,731,8664.177758764195
20,732,8660.713196651657
21,733,8657.248634539119
22,734,8653.78407242658
23,735,8650.319510314042
0,736,8730.004438902419
1,737,8726.53987678988
2,738,8723.075314677342
3,739,8719.610752564804
5,740,8712.68162833973
6,741,8709.217066227191
7,742,8705.752504114653
8,743,8702.287942002115
9,744,8698.823379889576
10,745,8695.358817777038
11,746,8691.8942556645
12,747,8688.429693551961
13,748,8684.965131439423
14,749,8681.500569326885
15,750,8678.036007214349
16,751,8674.57144510181
17,752,8671.106882989272
18,753,8667.642320876734
19,754,8664.177758764195
20,755,8660.713196651657
21,756,8657.248634539119
22,757,8653.78407242658
23,758,8650.319510314042
0,759,8730.004438902419
1,760,8726.53987678988
2,761,8723.075314677342
3,762,8719.610752564804
5,763,8712.68162833973
6,764,8709.217066227191
7,765,8705.752504114653
8,766,8702.287942002115
9,767,8698.823379889576
10,768,8695.358817777038
11,769,8691.8942556645
12,770,8688.429693551961
13,771,8684.965131439423
14,772,8681.500569326885
15,773,8678.036007214349
16,774,8674.57144510181
17,775,8671.106882989272
18,776,8667.642320876734
19,777,8664.177758764195
20,778,8660.713196651657
21,779,8657.248634539119
22,780,8653.78407242658
23,781,8650.319510314042
0,782,8730.004438902419
1,783,8726.53987678988
2,784,8723.075314677342
3,785,8719.610752564804
4,786,8716.146190452266
5,787,8712.68162833973
6,788,8709.217066227191
7,789,8705.752504114653
8,790,8702.287942002115
9,791,8698.823379889576
10,792,8695.358817777038
11,793,8691.8942556645
12,794,8688.429693551961
13,795,8684.965131439423
14,796,8681.500569326885
15,797,8678.036007214349
16,798,8674.57144510181
17,799,8671.106882989272
18,800,8667.642320876734
19,801,8664.177758764195
20,802,8660.713196651657
21,803,8657.248634539119
22,804,8653.78407242658
23,805,8650.319510314042
0,806,8730.004438902419
1,807,8726.53987678988
2,808,8723.075314677342
3,809,8719.610752564804
4,810,8716.146190452266
5,811,8712.68162833973
6,812,8709.217066227191
7,813,8705.752504114653
8,814,8702.287942002115
9,815,8698.823379889576
10,816,8695.358817777038
11,817,8691.8942556645
12,818,8688.429693551961
13,819,8684.965131439423
14,820,8681.500569326885
15,821,8678.036007214349
16,822,8674.57144510181
17,823,8671.106882989272
18,824,8667.642320876734
19,825,8664.177758764195
20,826,8660.713196651657
21,827,8657.248634539119
22,828,8653.78407242658
23,829,8650.319510314042
0,830,8730.004438902419
1,831,8726.53987678988
2,832,8723.075314677342
3,833,8719.610752564804
4,834,8716.146190452266
5,835,8712.68162833973
6,836,8709.217066227191
7,837,8705.752504114653
8,838,8702.287942002115
9,839,8698.823379889576
10,840,8695.358817777038
11,841,8691.8942556645
12,842,8688.429693551961
13,843,8684.965131439423
14,844,8681.500569326885
15,845,8678.036007214349
16,846,8674.57144510181
17,847,8671.106882989272
18,848,8667.642320876734
19,849,8664.177758764195
20,850,8660.713196651657
21,851,8657.248634539119
22,852,8653.78407242658
23,853,8650.319510314042
0,854,8730.004438902419
1,855,8726.53987678988
2,856,8723.075314677342
3,857,8719.610752564804
4,858,8716.146190452266
5,859,8712.68162833973
6,860,8709.217066227191
7,861,8705.752504114653
8,862,8702.287942002115
9,863,8698.823379889576
10,864,8695.358817777038
11,865,8691.8942556645
12,866,8688.429693551961
13,867,8684.965131439423
14,868,8681.500569326885
15,869,8678.036007214349
16,870,8674.57144510181
17,871,8671.106882989272
18,872,8667.642320876734
19,873,8664.177758764195
20,874,8660.713196651657
21,875,8657.248634539119
22,876,8653.78407242658
23,877,8650.319510314042
0,878,8730.004438902419
1,879,8726.53987678988
2,880,8723.075314677342
3,881,8719.610752564804
5,882,8712.68162833973
6,883,8709.217066227191
7,884,8705.752504114653
8,885,8702.287942002115
9,886,8698.823379889576
10,887,8695.358817777038
11,888,8691.8942556645
12,889,8688.429693551961
13,890,8684.965131439423
14,891,8681.500569326885
15,892,8678.036007214349
16,893,8674.57144510181
17,894,8671.106882989272
18,895,8667.642320876734
19,896,8664.177758764195
20,897,8660.713196651657
21,898,8657.248634539119
22,899,8653.78407242658
23,900,8650.319510314042
0,901,8730.004438902419
1,902,8726.53987678988
2,903,8723.075314677342
4,904,8716.146190452266
5,905,8712.68162833973
6,906,8709.217066227191
7,907,8705.752504114653
8,908,8702.287942002115
9,909,8698.823379889576
10,910,8695.358817777038
11,911,8691.8942556645
12,912,8688.429693551961
13,913,8684.965131439423
14,914,8681.500569326885
15,915,8678.036007214349
16,916,8674.57144510181
17,917,8671.106882989272
18,918,8667.642320876734
19,919,8664.177758764195
20,920,8660.713196651657
21,921,8657.248634539119
22,922,8653.78407242658
23,923,8650.319510314042
0,924,8730.004438902419
1,925,8726.53987678988
2,926,8723.075314677342
5,927,8712.68162833973
6,928,8709.217066227191
7,929,8705.752504114653
8,930,8702.287942002115
9,931,8698.823379889576
10,932,8695.358817777038
11,933,8691.8942556645
12,934,8688.429693551961
13,935,8684.965131439423
14,936,8681.500569326885
15,937,8678.036007214349
16,938,8674.57144510181
17,939,8671.106882989272
18,940,8667.642320876734
19,941,8664.177758764195
20,942,8660.713196651657
21,943,8657.248634539119
22,944,8653.78407242658
23,945,8650.319510314042
0,946,8730.004438902419
1,947,8726.53987678988
2,948,8723.075314677342
3,949,8719.610752564804
4,950,8716.146190452266
5,951,8712.68162833973
6,952,8709.217066227191
7,953,8705.752504114653
8,954,8702.287942002115
9,955,8698.823379889576
10,956,8695.358817777038
11,957,8691.8942556645
12,958,8688.429693551961
13,959,8684.965131439423
14,960,8681.500569326885
15,961,8678.036007214349
16,962,8674.57144510181
17,963,8671.106882989272
18,964,8667.642320876734
19,965,8664.177758764195
20,966,8660.713196651657
21,967,8657.248634539119
22,968,8653.78407242658
23,969,8650.319510314042
0,970,8730.004438902419
1,971,8726.53987678988
2,972,8723.075314677342
3,973,8719.610752564804
4,974,8716.146190452266
6,975,8709.217066227191
7,976,8705.752504114653
8,977,8702.287942002115
9,978,8698.823379889576
10,979,8695.358817777038
11,980,8691.8942556645
12,981,8688.429693551961
13,982,8684.965131439423
14,983,8681.500569326885
15,984,8678.036007214349
16,985,8674.57144510181
17,986,8671.106882989272
18,987,8667.642320876734
19,988,8664.177758764195
20,989,8660.713196651657
21,990,8657.248634539119
22,991,8653.78407242658
23,992,8650.319510314042
0,993,8730.004438902419
1,994,8726.53987678988
2,995,8723.075314677342
3,996,8719.610752564804
4,997,8716.146190452266
5,998,8712.68162833973
6,999,8709.217066227191
7,1000,8705.752504114653
8,1001,8702.287942002115
9,1002,8698.823379889576
10,1003,8695.358817777038
11,1004,8691.8942556645
12,1005,8688.429693551961
13,1006,8684.965131439423
14,1007,8681.500569326885
15,1008,8678.036007214349
16,1009,8674.57144510181
17,1010,8671.106882989272
18,1011,8667.642320876734
19,1012,8664.177758764195
20,1013,8660.713196651657
21,1014,8657.248634539119
22,1015,8653.78407242658
23,1016,8650.319510314042
0,1017,8730.004438902419
1,1018,8726.53987678988
2,1019,8723.075314677342
4,1020,8716.146190452266
5,1021,8712.68162833973
6,1022,8709.217066227191
7,1023,8705.752504114653
8,1024,8702.287942002115
9,1025,8698.823379889576
10,1026,8695.358817777038
11,1027,8691.8942556645
12,1028,8688.429693551961
13,1029,8684.965131439423
14,1030,8681.500569326885
15,1031,8678.036007214349
16,1032,8674.57144510181
17,1033,8671.106882989272
18,1034,8667.642320876734
19,1035,8664.177758764195
20,1036,8660.713196651657
21,1037,8657.248634539119
22,1038,8653.78407242658
23,1039,8650.319510314042
0,1040,8730.004438902419
1,1041,8726.53987678988
3,1042,8719.610752564804
4,1043,8716.146190452266
5,1044,8712.68162833973
6,1045,8709.217066227191
7,1046,8705.752504114653
8,1047,8702.287942002115
9,1048,8698.823379889576
10,1049,8695.358817777038
11,1050,8691.8942556645
12,1051,8688.429693551961
13,1052,8684.965131439423
14,1053,8681.500569326885
15,1054,8678.036007214349
16,1055,8674.57144510181
17,1056,8671.106882989272
18,1057,8667.642320876734
19,1058,8664.177758764195
20,1059,8660.713196651657
21,1060,8657.248634539119
22,1061,8653.78407242658
23,1062,8650.319510314042
0,1063,8730.004438902419
1,1064,8726.53987678988
2,1065,8723.075314677342
3,1066,8719.610752564804
4,1067,8716.146190452266
5,1068,8712.68162833973
6,1069,8709.217066227191
7,1070,8705.752504114653
8,1071,8702.287942002115
9,1072,8698.823379889576
10,1073,8695.358817777038
11,1074,8691.8942556645
12,1075,8688.429693551961
13,1076,8684.965131439423
14,1077,8681.500569326885
15,1078,8678.036007214349
16,1079,8674.57144510181
17,1080,8671.106882989272
18,1081,8667.642320876734
19,1082,8664.177758764195
20,1083,8660.713196651657
21,1084,8657.248634539119
22,1085,8653.78407242658
23,1086,8650.319510314042
0,1087,8730.004438902419
1,1088,8726.53987678988
2,1089,8723.075314677342
3,1090,8719.610752564804
4,1091,8716.146190452266
5,1092,8712.68162833973
6,1093,8709.217066227191
7,1094,8705.752504114653
8,1095,8702.287942002115
9,1096,8698.823379889576
10,1097,8695.358817777038
11,1098,8691.8942556645
12,1099,8688.429693551961
13,1100,8684.965131439423
14,1101,8681.500569326885
15,1102,8678.036007214349
16,1103,8674.57144510181
17,1104,8671.106882989272
18,1105,8667.642320876734
19,1106,8664.177758764195
20,1107,8660.713196651657
21,1108,8657.248634539119
22,1109,8653.78407242658
23,1110,8650.319510314042
0,1111,8730.004438902419
1,1112,8726.53987678988
2,1113,8723.075314677342
3,1114,8719.610752564804
4,1115,8716.146190452266
5,1116,8712.68162833973
6,1117,8709.217066227191
7,1118,8705.752504114653
8,1119,8702.287942002115
9,1120,8698.823379889576
10,1121,8695.358817777038
11,1122,8691.8942556645
12,1123,8688.429693551961
13,1124,8684.965131439423
14,1125,8681.500569326885
15,1126,8678.036007214349
16,1127,8674.57144510181
17,1128,8671.106882989272
18,1129,8667.642320876734
19,1130,8664.177758764195
20,1131,8660.713196651657
21,1132,8657.248634539119
22,1133,8653.78407242658
23,1134,8650.319510314042
0,1135,8730.004438902419
1,1136,8726.53987678988
2,1137,8723.075314677342
3,1138,8719.610752564804
4,1139,8716.146190452266
6,1140,8709.217066227191
7,1141,8705.752504114653
8,1142,8702.287942002115
9,1143,8698.823379889576
10,1144,8695.358817777038
11,1145,8691.8942556645
12,1146,8688.429693551961
13,1147,8684.965131439423
14,1148,8681.500569326885
15,1149,8678.036007214349
16,1150,8674.57144510181
17,1151,8671.106882989272
