registered,hum,Predicted Y
3,0.5,0.6798795364120607
4,0.5,0.6795303634549986
3,0.5,0.6798795364120607
28,0.54,0.6711502124855084
72,0.54,0.6557866023747765
197,0.5,0.6121399827420152
137,0.5,0.6330903601657406
36,0.5,0.6683568288290117
33,0.44,0.669404347700198
49,0.44,0.6638175803872045
81,0.41,0.6526440457612176
39,0.41,0.6673093099578254
55,0.38,0.661722542644832
76,0.38,0.6543899105465281
158,0.4,0.6257577280674367
141,0.4,0.6316936683374922
98,0.47,0.6467081054911621
64,0.47,0.6585799860312731
40,0.46,0.6669601370007633
30,0.46,0.6704518665713842
14,0.5,0.6760386338843777
14,0.5,0.6760386338843777
5,0.54,0.6791811904979365
1,0.54,0.6805778823261849
1,0.54,0.6805778823261849
8,0.54,0.6781336716267502
17,0.54,0.6749911150131914
70,0.74,0.6564849482889006
156,0.68,0.6264560739815609
117,0.69,0.6400738193069824
40,0.55,0.6669601370007633
47,0.51,0.6645159263013287
59,0.44,0.6603258508165836
73,0.37,0.6554374294177143
59,0.41,0.6603258508165836
59,0.38,0.6603258508165836
87,0.41,0.6505490080188451
155,0.41,0.6268052469386229
134,0.47,0.6341378790369269
89,0.59,0.6498506621047209
68,0.59,0.6571832942030248
48,0.69,0.6641667533442666
34,0.69,0.6690551747431359
26,0.55,0.6718485583996325
25,0.55,0.6721977313566947
18,0.59,0.6746419420561293
12,0.59,0.6767369797985019
7,0.59,0.6784828445838123
5,0.59,0.6791811904979365
1,0.59,0.6805778823261849
2,0.63,0.6802287093691227
9,0.63,0.6777844986696882
22,0.63,0.673245250227881
31,0.64,0.6701026936143222
57,0.59,0.6610241967307078
54,0.55,0.662071715601894
74,0.48,0.6550882564606523
80,0.38,0.6529932187182798
92,0.39,0.6488031432335346
108,0.36,0.6432163759205412
95,0.34,0.6477556243623483
54,0.36,0.662071715601894
69,0.45,0.6568341212459627
60,0.39,0.6599766778595215
35,0.39,0.6687060017860738
51,0.39,0.6631192344730803
26,0.42,0.6718485583996325
39,0.45,0.6673093099578254
33,0.56,0.669404347700198
19,0.56,0.6742927690990672
13,0.56,0.6763878068414397
6,0.69,0.6788320175408744
1,0.56,0.6805778823261849
1,0.56,0.6805778823261849
1,0.56,0.6805778823261849
3,0.56,0.6798795364120607
18,0.55,0.6746419420561293
29,0.51,0.6708010395284463
71,0.51,0.6561357753318385
70,0.44,0.6564849482889006
75,0.41,0.6547390835035901
95,0.35,0.6477556243623483
69,0.36,0.6568341212459627
78,0.38,0.6536915646324039
77,0.38,0.654040737589466
82,0.37,0.6522948728041555
56,0.4,0.6613733696877698
47,0.47,0.6645159263013287
50,0.47,0.6634684074301425
22,0.51,0.673245250227881
19,0.49,0.6742927690990672
18,0.4,0.6746419420561293
16,0.47,0.6753402879702535
15,0.44,0.6756894609273155
8,0.43,0.6781336716267502
2,0.43,0.6802287093691227
2,0.43,0.6802287093691227
1,0.43,0.6805778823261849
5,0.43,0.6791811904979365
9,0.5,0.6777844986696882
30,0.47,0.6704518665713842
39,0.47,0.6673093099578254
50,0.5,0.6634684074301425
55,0.55,0.661722542644832
70,0.47,0.6564849482889006
80,0.47,0.6529932187182798
74,0.43,0.6550882564606523
72,0.47,0.6557866023747765
76,0.47,0.6543899105465281
67,0.51,0.6575324671600868
85,0.55,0.6512473539329693
58,0.59,0.6606750237736457
29,0.8,0.6708010395284463
24,0.8,0.6725469043137567
13,0.93,0.6763878068414397
3,0.86,0.6798795364120607
3,0.86,0.6798795364120607
22,0.86,0.673245250227881
26,0.8,0.6718485583996325
32,0.87,0.66975352065726
61,0.87,0.6596275049024595
124,0.82,0.6376296086075477
132,0.8,0.634836224951051
98,0.8,0.6467081054911621
83,0.87,0.6519456998470934
41,0.93,0.6666109640437012
33,0.93,0.669404347700198
19,0.93,0.6742927690990672
3,0.93,0.6798795364120607
6,0.93,0.6788320175408744
3,0.93,0.6798795364120607
1,0.93,0.6805778823261849
7,0.93,0.6784828445838123
32,0.93,0.66975352065726
89,0.92,0.6498506621047209
196,0.93,0.6124891556990772
107,0.93,0.6435655488776033
46,0.93,0.6648650992583908
47,0.87,0.6645159263013287
65,0.81,0.658230813074211
67,0.62,0.6575324671600868
68,0.58,0.6571832942030248
78,0.54,0.6536915646324039
94,0.58,0.6481047973194104
190,0.57,0.6145841934414498
156,0.61,0.6264560739815609
108,0.57,0.6432163759205412
74,0.49,0.6550882564606523
55,0.49,0.661722542644832
53,0.52,0.6624208885589562
27,0.52,0.6714993854425705
8,0.56,0.6781336716267502
3,0.56,0.6798795364120607
2,0.56,0.6802287093691227
1,0.56,0.6805778823261849
1,0.56,0.6805778823261849
6,0.6,0.6788320175408744
35,0.6,0.6687060017860738
100,0.55,0.6460097595770379
247,0.55,0.5946813348889106
140,0.52,0.6320428412945542
56,0.48,0.6613733696877698
63,0.45,0.6589291589883353
77,0.42,0.654040737589466
86,0.45,0.6508981809759071
75,0.45,0.6547390835035901
62,0.45,0.6592783319453973
83,0.49,0.6519456998470934
207,0.49,0.6086482531713943
184,0.56,0.6166792311838223
146,0.56,0.6299478035521817
124,0.6,0.6376296086075477
54,0.6,0.662071715601894
56,0.65,0.6613733696877698
28,0.65,0.6711502124855084
20,0.7,0.6739435961420052
6,0.7,0.6788320175408744
2,0.75,0.6802287093691227
1,0.8,0.6805778823261849
1,0.87,0.6805778823261849
4,0.6,0.6795303634549986
27,0.55,0.6714993854425705
66,0.51,0.657881640117149
210,0.47,0.607600734300208
159,0.51,0.6254085551103746
57,0.47,0.6610241967307078
53,0.41,0.6624208885589562
67,0.27,0.6575324671600868
65,0.21,0.658230813074211
56,0.25,0.6613733696877698
61,0.26,0.6596275049024595
97,0.26,0.6470572784482241
151,0.28,0.6282019387668714
119,0.3,0.6393754733928582
93,0.3,0.6484539702764726
52,0.33,0.6627700615160182
41,0.38,0.6666109640437012
33,0.41,0.669404347700198
27,0.38,0.6714993854425705
13,0.45,0.6763878068414397
9,0.41,0.6777844986696882
11,0.41,0.6770861527555639
6,0.41,0.6788320175408744
3,0.48,0.6798795364120607
2,0.44,0.6802287093691227
8,0.44,0.6781336716267502
26,0.44,0.6718485583996325
37,0.41,0.6680076558719495
50,0.41,0.6634684074301425
59,0.38,0.6603258508165836
60,0.38,0.6599766778595215
72,0.35,0.6557866023747765
64,0.33,0.6585799860312731
93,0.28,0.6484539702764726
72,0.28,0.6557866023747765
59,0.28,0.6603258508165836
54,0.35,0.662071715601894
53,0.35,0.6624208885589562
44,0.45,0.665563445172515
39,0.41,0.6673093099578254
23,0.49,0.6728960772708189
31,0.57,0.6701026936143222
20,0.57,0.6739435961420052
12,0.57,0.6767369797985019
15,0.62,0.6756894609273155
4,0.62,0.6795303634549986
3,0.57,0.6798795364120607
1,0.57,0.6805778823261849
1,0.58,0.6805778823261849
17,0.62,0.6749911150131914
25,0.54,0.6721977313566947
51,0.46,0.6631192344730803
77,0.43,0.654040737589466
92,0.37,0.6488031432335346
75,0.33,0.6547390835035901
93,0.28,0.6484539702764726
64,0.28,0.6585799860312731
56,0.26,0.6613733696877698
50,0.26,0.6634684074301425
44,0.3,0.665563445172515
45,0.3,0.6652142722154528
31,0.36,0.6701026936143222
20,0.36,0.6739435961420052
23,0.38,0.6728960772708189
17,0.41,0.6749911150131914
7,0.41,0.6784828445838123
1,0.45,0.6805778823261849
1,0.45,0.6805778823261849
1,0.48,0.6805778823261849
5,0.48,0.6791811904979365
15,0.48,0.6756894609273155
79,0.48,0.6533423916753418
171,0.49,0.6212184796256295
98,0.41,0.6467081054911621
34,0.42,0.6690551747431359
43,0.46,0.665912618129577
52,0.42,0.6627700615160182
54,0.43,0.662071715601894
43,0.46,0.665912618129577
50,0.4,0.6634684074301425
66,0.47,0.657881640117149
178,0.5,0.6187742689261949
145,0.59,0.6302969765092439
101,0.54,0.6456605866199758
80,0.59,0.6529932187182798
53,0.63,0.6624208885589562
32,0.63,0.66975352065726
21,0.64,0.673594423184943
6,0.69,0.6788320175408744
5,0.69,0.6791811904979365
2,0.69,0.6802287093691227
1,0.74,0.6805778823261849
9,0.74,0.6777844986696882
35,0.74,0.6687060017860738
103,0.74,0.6449622407058516
233,0.74,0.5995697562877799
134,0.64,0.6341378790369269
49,0.6,0.6638175803872045
55,0.6,0.661722542644832
85,0.56,0.6512473539329693
72,0.56,0.6557866023747765
57,0.45,0.6610241967307078
63,0.42,0.6589291589883353
102,0.42,0.6453114136629137
208,0.45,0.6082990802143322
218,0.49,0.6048073506437113
133,0.65,0.6344870519939889
103,0.65,0.6449622407058516
40,0.65,0.6669601370007633
49,0.64,0.6638175803872045
37,0.64,0.6680076558719495
14,0.69,0.6760386338843777
5,0.65,0.6791811904979365
7,0.69,0.6784828445838123
1,0.86,0.6805778823261849
8,0.86,0.6781336716267502
29,0.87,0.6708010395284463
69,0.87,0.6568341212459627
55,0.87,0.661722542644832
26,0.93,0.6718485583996325
35,0.93,0.6687060017860738
41,0.93,0.6666109640437012
43,0.93,0.665912618129577
36,0.93,0.6683568288290117
42,0.93,0.6662617910866392
35,0.93,0.6687060017860738
26,0.93,0.6718485583996325
23,0.55,0.6728960772708189
82,0.55,0.6522948728041555
101,0.69,0.6456605866199758
76,0.69,0.6543899105465281
55,0.74,0.661722542644832
36,0.74,0.6683568288290117
27,0.74,0.6714993854425705
16,0.8,0.6753402879702535
9,0.75,0.6777844986696882
2,0.75,0.6802287093691227
2,0.75,0.6802287093691227
0,0.75,0.6809270552832469
4,0.8,0.6795303634549986
16,0.8,0.6753402879702535
58,0.86,0.6606750237736457
155,0.86,0.6268052469386229
95,0.86,0.6477556243623483
49,0.86,0.6638175803872045
30,0.93,0.6704518665713842
28,0.93,0.6711502124855084
31,0.93,0.6701026936143222
36,0.8,0.6683568288290117
40,0.86,0.6669601370007633
70,0.8,0.6564849482889006
147,0.75,0.6295986305951197
107,0.75,0.6435655488776033
84,0.75,0.6515965268900313
61,0.7,0.6596275049024595
57,0.75,0.6610241967307078
26,0.65,0.6718485583996325
22,0.6,0.673245250227881
26,0.64,0.6718485583996325
20,0.64,0.6739435961420052
15,0.64,0.6756894609273155
5,0.64,0.6791811904979365
2,0.69,0.6802287093691227
2,0.64,0.6802287093691227
4,0.59,0.6795303634549986
31,0.55,0.6701026936143222
34,0.59,0.6690551747431359
51,0.64,0.6631192344730803
60,0.64,0.6599766778595215
66,0.59,0.657881640117149
56,0.55,0.6613733696877698
89,0.6,0.6498506621047209
98,0.69,0.6467081054911621
88,0.6,0.650199835061783
82,0.6,0.6522948728041555
59,0.69,0.6603258508165836
52,0.69,0.6627700615160182
42,0.74,0.6662617910866392
35,0.74,0.6687060017860738
28,0.8,0.6711502124855084
30,0.8,0.6704518665713842
33,0.8,0.669404347700198
22,0.8,0.673245250227881
10,0.8,0.677435325712626
7,0.93,0.6784828445838123
1,0.93,0.6805778823261849
3,0.86,0.6798795364120607
3,0.86,0.6798795364120607
11,0.86,0.6770861527555639
34,0.8,0.6690551747431359
57,0.8,0.6610241967307078
50,0.75,0.6634684074301425
87,0.52,0.6505490080188451
71,0.61,0.6561357753318385
104,0.61,0.6446130677487896
95,0.56,0.6477556243623483
104,0.56,0.6446130677487896
71,0.56,0.6561357753318385
57,0.65,0.6610241967307078
46,0.65,0.6648650992583908
30,0.65,0.6704518665713842
25,0.7,0.6721977313566947
19,0.7,0.6742927690990672
16,0.65,0.6753402879702535
6,0.65,0.6788320175408744
5,0.64,0.6791811904979365
1,0.64,0.6805778823261849
2,0.64,0.6802287093691227
2,0.59,0.6802287093691227
8,0.64,0.6781336716267502
37,0.69,0.6680076558719495
71,0.64,0.6561357753318385
182,0.59,0.6173775770979465
112,0.59,0.6418196840922928
68,0.59,0.6571832942030248
46,0.59,0.6648650992583908
62,0.55,0.6592783319453973
52,0.59,0.6627700615160182
85,0.55,0.6512473539329693
41,0.59,0.6666109640437012
83,0.56,0.6519456998470934
155,0.59,0.6268052469386229
153,0.55,0.6275035928527471
108,0.61,0.6432163759205412
78,0.59,0.6536915646324039
53,0.59,0.6624208885589562
34,0.59,0.6690551747431359
15,0.64,0.6756894609273155
6,0.64,0.6788320175408744
3,0.69,0.6798795364120607
2,0.69,0.6802287093691227
2,0.69,0.6802287093691227
3,0.93,0.6798795364120607
22,0.93,0.673245250227881
52,0.93,0.6627700615160182
132,0.93,0.634836224951051
114,0.93,0.6411213381781686
47,0.93,0.6645159263013287
49,0.86,0.6638175803872045
53,0.86,0.6624208885589562
49,0.86,0.6638175803872045
49,0.8,0.6638175803872045
45,0.75,0.6652142722154528
61,0.75,0.6596275049024595
172,0.75,0.6208693066685674
165,0.81,0.623313517368002
105,0.81,0.6442638947917274
69,0.87,0.6568341212459627
64,0.87,0.6585799860312731
34,0.87,0.6690551747431359
15,0.93,0.6756894609273155
2,0.93,0.6802287093691227
3,0.93,0.6798795364120607
0,0.93,0.6809270552832469
1,0.93,0.6805778823261849
1,0.93,0.6805778823261849
3,0.93,0.6798795364120607
17,0.93,0.6749911150131914
48,0.93,0.6641667533442666
154,0.93,0.627154419895685
119,0.93,0.6393754733928582
59,1.0,0.6603258508165836
47,0.93,0.6645159263013287
61,0.93,0.6596275049024595
74,0.93,0.6550882564606523
61,0.82,0.6596275049024595
66,0.76,0.657881640117149
95,0.71,0.6477556243623483
183,0.53,0.6170284041408844
175,0.42,0.6198217877973812
88,0.45,0.650199835061783
71,0.48,0.6561357753318385
62,0.47,0.6592783319453973
35,0.44,0.6687060017860738
29,0.44,0.6708010395284463
11,0.4,0.6770861527555639
5,0.44,0.6791811904979365
2,0.43,0.6802287093691227
1,0.43,0.6805778823261849
2,0.5,0.6802287093691227
39,0.43,0.6673093099578254
86,0.5,0.6508981809759071
184,0.5,0.6166792311838223
127,0.47,0.6365820897363614
50,0.43,0.6634684074301425
55,0.43,0.661722542644832
67,0.4,0.6575324671600868
47,0.4,0.6645159263013287
43,0.37,0.665912618129577
56,0.37,0.6613733696877698
73,0.37,0.6554374294177143
170,0.4,0.6215676525826916
145,0.4,0.6302969765092439
92,0.4,0.6488031432335346
108,0.47,0.6432163759205412
53,0.55,0.6624208885589562
39,0.51,0.6673093099578254
34,0.47,0.6690551747431359
10,0.44,0.677435325712626
7,0.59,0.6784828445838123
1,0.63,0.6805778823261849
1,0.63,0.6805778823261849
7,0.63,0.6784828445838123
26,0.55,0.6718485583996325
87,0.59,0.6505490080188451
217,0.74,0.6051565236007733
124,0.8,0.6376296086075477
46,0.51,0.6648650992583908
61,0.51,0.6596275049024595
78,0.48,0.6536915646324039
73,0.5,0.6554374294177143
76,0.45,0.6543899105465281
81,0.48,0.6526440457612176
91,0.42,0.6491523161905968
195,0.56,0.6128383286561393
152,0.6,0.6278527658098092
102,0.65,0.6453114136629137
69,0.65,0.6568341212459627
41,0.7,0.6666109640437012
45,0.65,0.6652142722154528
30,0.7,0.6704518665713842
36,0.7,0.6683568288290117
17,0.65,0.6749911150131914
12,0.75,0.6767369797985019
10,0.75,0.677435325712626
8,0.93,0.6781336716267502
9,1.0,0.6777844986696882
4,1.0,0.6795303634549986
4,0.93,0.6795303634549986
10,1.0,0.677435325712626
17,1.0,0.6749911150131914
31,1.0,0.6701026936143222
46,1.0,0.6648650992583908
42,1.0,0.6662617910866392
62,1.0,0.6592783319453973
50,1.0,0.6634684074301425
49,1.0,0.6638175803872045
63,1.0,0.6589291589883353
64,1.0,0.6585799860312731
81,0.93,0.6526440457612176
78,0.93,0.6536915646324039
64,0.87,0.6585799860312731
53,1.0,0.6624208885589562
43,0.93,0.665912618129577
52,0.93,0.6627700615160182
37,0.7,0.6680076558719495
40,0.65,0.6669601370007633
20,0.6,0.6739435961420052
10,0.6,0.677435325712626
2,0.6,0.6802287093691227
1,0.6,0.6805778823261849
1,0.6,0.6805778823261849
8,0.65,0.6781336716267502
21,0.65,0.673594423184943
38,0.56,0.6676584829148875
74,0.52,0.6550882564606523
89,0.49,0.6498506621047209
126,0.46,0.6369312626934236
135,0.46,0.6337887060798647
114,0.46,0.6411213381781686
130,0.46,0.6355345708651752
115,0.49,0.6407721652211066
97,0.46,0.6470572784482241
65,0.56,0.658230813074211
20,0.61,0.6739435961420052
21,0.61,0.673594423184943
22,0.6,0.673245250227881
57,0.6,0.6610241967307078
26,0.65,0.6718485583996325
14,0.65,0.6760386338843777
4,0.75,0.6795303634549986
3,0.8,0.6798795364120607
1,0.86,0.6805778823261849
1,0.86,0.6805778823261849
9,0.86,0.6777844986696882
29,0.93,0.6708010395284463
89,0.86,0.6498506621047209
223,1.0,0.6030614858584008
115,0.8,0.6407721652211066
49,0.75,0.6638175803872045
36,0.65,0.6683568288290117
59,0.62,0.6603258508165836
54,0.57,0.662071715601894
52,0.57,0.6627700615160182
46,0.54,0.6648650992583908
98,0.57,0.6467081054911621
207,0.7,0.6086482531713943
170,0.66,0.6215676525826916
123,0.7,0.6379787815646099
82,0.7,0.6522948728041555
75,0.7,0.6547390835035901
34,0.81,0.6690551747431359
19,0.81,0.6742927690990672
6,0.87,0.6788320175408744
4,0.87,0.6795303634549986
1,0.93,0.6805778823261849
1,0.93,0.6805778823261849
3,0.93,0.6798795364120607
2,0.81,0.6802287093691227
39,0.7,0.6673093099578254
97,0.65,0.6470572784482241
236,0.56,0.5985222374165936
128,0.52,0.6362329167792994
44,0.47,0.665563445172515
49,0.47,0.6638175803872045
63,0.38,0.6589291589883353
48,0.32,0.6641667533442666
61,0.37,0.6596275049024595
45,0.35,0.6652142722154528
79,0.35,0.6533423916753418
172,0.32,0.6208693066685674
151,0.32,0.6282019387668714
100,0.4,0.6460097595770379
53,0.4,0.6624208885589562
46,0.33,0.6648650992583908
29,0.33,0.6708010395284463
9,0.33,0.6777844986696882
17,0.36,0.6749911150131914
7,0.36,0.6784828445838123
2,0.38,0.6802287093691227
2,0.45,0.6802287093691227
7,0.45,0.6784828445838123
43,0.45,0.665912618129577
95,0.49,0.6477556243623483
198,0.42,0.611790809784953
119,0.39,0.6393754733928582
51,0.36,0.6631192344730803
40,0.43,0.6669601370007633
57,0.4,0.6610241967307078
67,0.4,0.6575324671600868
56,0.34,0.6613733696877698
61,0.34,0.6596275049024595
72,0.37,0.6557866023747765
157,0.34,0.6261069010244987
168,0.47,0.6222659984968157
87,0.86,0.6505490080188451
84,0.86,0.6515965268900313
83,0.86,0.6519456998470934
42,0.8,0.6662617910866392
37,0.8,0.6680076558719495
16,0.86,0.6753402879702535
7,0.8,0.6784828445838123
3,0.8,0.6798795364120607
1,0.59,0.6805778823261849
6,0.5,0.6788320175408744
26,0.54,0.6718485583996325
99,0.5,0.6463589325341
173,0.49,0.6205201337115053
121,0.42,0.638677127478734
34,0.42,0.6690551747431359
44,0.39,0.665563445172515
65,0.34,0.658230813074211
59,0.29,0.6603258508165836
42,0.27,0.6662617910866392
50,0.25,0.6634684074301425
76,0.27,0.6543899105465281
159,0.26,0.6254085551103746
157,0.28,0.6261069010244987
110,0.28,0.642518030006417
93,0.31,0.6484539702764726
70,0.39,0.6564849482889006
47,0.39,0.6645159263013287
33,0.42,0.669404347700198
12,0.49,0.6767369797985019
6,0.54,0.6788320175408744
3,0.54,0.6798795364120607
4,0.63,0.6795303634549986
23,0.68,0.6728960772708189
73,0.73,0.6554374294177143
212,0.74,0.6069023883860838
132,0.74,0.634836224951051
39,0.69,0.6673093099578254
52,0.47,0.6627700615160182
64,0.47,0.6585799860312731
89,0.35,0.6498506621047209
67,0.26,0.6575324671600868
62,0.21,0.6592783319453973
111,0.28,0.6421688570493549
