hr,registered,Predicted Y
1,6,67.40905615893283
2,2,75.59904815538607
4,2,91.97903214829253
5,3,100.16902414474578
6,33,108.359016141199
7,87,116.54900813765224
8,192,124.73900013410548
9,109,132.9289921305587
10,53,141.11898412701197
11,34,149.3089761234652
12,74,157.4989681199184
13,65,165.68896011637167
14,52,173.8789521128249
15,55,182.06894410927814
16,85,190.25893610573138
17,186,198.4489281021846
18,166,206.6389200986378
19,127,214.82891209509108
20,82,223.0189040915443
21,40,231.20889608799752
22,41,239.3988880844508
23,18,247.588880080904
0,11,59.2190641624796
1,4,67.40905615893283
2,2,75.59904815538607
4,1,91.97903214829253
5,4,100.16902414474578
6,36,108.359016141199
7,95,116.54900813765224
8,216,124.73900013410548
9,116,132.9289921305587
10,42,141.11898412701197
11,57,149.3089761234652
12,78,157.4989681199184
13,55,165.68896011637167
14,59,173.8789521128249
15,54,182.06894410927814
16,74,190.25893610573138
17,163,198.4489281021846
18,158,206.6389200986378
19,109,214.82891209509108
20,66,223.0189040915443
21,48,231.20889608799752
22,51,239.3988880844508
23,19,247.588880080904
0,13,59.2190641624796
1,5,67.40905615893283
2,1,75.59904815538607
4,1,91.97903214829253
5,5,100.16902414474578
6,26,108.359016141199
7,76,116.54900813765224
8,190,124.73900013410548
9,125,132.9289921305587
10,47,141.11898412701197
11,48,149.3089761234652
12,50,157.4989681199184
13,64,165.68896011637167
14,43,173.8789521128249
15,63,182.06894410927814
16,82,190.25893610573138
17,178,198.4489281021846
18,116,206.6389200986378
19,92,214.82891209509108
20,50,223.0189040915443
21,39,231.20889608799752
22,34,239.3988880844508
23,14,247.588880080904
0,24,59.2190641624796
1,15,67.40905615893283
2,13,75.59904815538607
3,7,83.7890401518393
4,1,91.97903214829253
5,5,100.16902414474578
6,2,108.359016141199
7,8,116.54900813765224
8,15,124.73900013410548
9,20,132.9289921305587
10,56,141.11898412701197
11,60,149.3089761234652
12,90,157.4989681199184
13,95,165.68896011637167
14,83,173.8789521128249
15,69,182.06894410927814
16,68,190.25893610573138
17,64,198.4489281021846
18,52,206.6389200986378
19,26,214.82891209509108
20,28,223.0189040915443
21,35,231.20889608799752
22,33,239.3988880844508
23,22,247.588880080904
0,24,59.2190641624796
1,12,67.40905615893283
2,11,75.59904815538607
3,4,83.7890401518393
4,1,91.97903214829253
5,1,100.16902414474578
6,1,108.359016141199
7,5,116.54900813765224
8,10,124.73900013410548
9,19,132.9289921305587
10,49,141.11898412701197
11,47,149.3089761234652
12,79,157.4989681199184
13,69,165.68896011637167
14,64,173.8789521128249
15,77,182.06894410927814
16,79,190.25893610573138
17,59,198.4489281021846
18,44,206.6389200986378
19,40,214.82891209509108
20,38,223.0189040915443
21,19,231.20889608799752
22,10,239.3988880844508
23,6,247.588880080904
0,3,59.2190641624796
1,0,67.40905615893283
2,3,75.59904815538607
3,1,83.7890401518393
4,2,91.97903214829253
5,3,100.16902414474578
6,31,108.359016141199
7,75,116.54900813765224
8,184,124.73900013410548
9,92,132.9289921305587
10,31,141.11898412701197
11,28,149.3089761234652
12,47,157.4989681199184
13,50,165.68896011637167
14,47,173.8789521128249
15,43,182.06894410927814
16,70,190.25893610573138
17,174,198.4489281021846
18,154,206.6389200986378
19,92,214.82891209509108
20,73,223.0189040915443
21,37,231.20889608799752
22,22,239.3988880844508
23,18,247.588880080904
0,10,59.2190641624796
1,3,67.40905615893283
2,3,75.59904815538607
5,6,100.16902414474578
6,27,108.359016141199
7,97,116.54900813765224
8,214,124.73900013410548
9,127,132.9289921305587
10,51,141.11898412701197
11,31,149.3089761234652
12,55,157.4989681199184
13,46,165.68896011637167
14,60,173.8789521128249
15,45,182.06894410927814
16,72,190.25893610573138
17,130,198.4489281021846
18,94,206.6389200986378
19,51,214.82891209509108
20,32,223.0189040915443
21,20,231.20889608799752
22,28,239.3988880844508
23,18,247.588880080904
0,7,59.2190641624796
1,6,67.40905615893283
2,1,75.59904815538607
5,5,100.16902414474578
6,16,108.359016141199
7,54,116.54900813765224
8,125,124.73900013410548
9,78,132.9289921305587
10,39,141.11898412701197
11,32,149.3089761234652
12,52,157.4989681199184
13,49,165.68896011637167
14,44,173.8789521128249
15,48,182.06894410927814
16,63,190.25893610573138
17,139,198.4489281021846
18,135,206.6389200986378
19,82,214.82891209509108
20,54,223.0189040915443
21,57,231.20889608799752
22,32,239.3988880844508
23,19,247.588880080904
0,6,59.2190641624796
1,2,67.40905615893283
2,2,75.59904815538607
3,3,83.7890401518393
4,4,91.97903214829253
5,3,100.16902414474578
6,28,108.359016141199
7,72,116.54900813765224
8,197,124.73900013410548
9,137,132.9289921305587
10,36,141.11898412701197
11,33,149.3089761234652
12,49,157.4989681199184
13,81,165.68896011637167
14,39,173.8789521128249
15,55,182.06894410927814
16,76,190.25893610573138
17,158,198.4489281021846
18,141,206.6389200986378
19,98,214.82891209509108
20,64,223.0189040915443
21,40,231.20889608799752
22,30,239.3988880844508
23,14,247.588880080904
0,14,59.2190641624796
1,5,67.40905615893283
2,1,75.59904815538607
3,1,83.7890401518393
5,8,100.16902414474578
6,17,108.359016141199
7,70,116.54900813765224
8,156,124.73900013410548
9,117,132.9289921305587
10,40,141.11898412701197
11,47,149.3089761234652
12,59,157.4989681199184
13,73,165.68896011637167
14,59,173.8789521128249
15,59,182.06894410927814
16,87,190.25893610573138
17,155,198.4489281021846
18,134,206.6389200986378
19,89,214.82891209509108
20,68,223.0189040915443
21,48,231.20889608799752
22,34,239.3988880844508
23,26,247.588880080904
0,25,59.2190641624796
1,18,67.40905615893283
2,12,75.59904815538607
3,7,83.7890401518393
4,5,91.97903214829253
5,1,100.16902414474578
6,2,108.359016141199
7,9,116.54900813765224
8,22,124.73900013410548
9,31,132.9289921305587
10,57,141.11898412701197
11,54,149.3089761234652
12,74,157.4989681199184
13,80,165.68896011637167
14,92,173.8789521128249
15,108,182.06894410927814
16,95,190.25893610573138
17,54,198.4489281021846
18,69,206.6389200986378
19,60,214.82891209509108
20,35,223.0189040915443
21,51,231.20889608799752
22,26,239.3988880844508
23,39,247.588880080904
0,33,59.2190641624796
1,19,67.40905615893283
2,13,75.59904815538607
3,6,83.7890401518393
4,1,91.97903214829253
5,1,100.16902414474578
6,1,108.359016141199
7,3,116.54900813765224
8,18,124.73900013410548
9,29,132.9289921305587
10,71,141.11898412701197
11,70,149.3089761234652
12,75,157.4989681199184
13,95,165.68896011637167
14,69,173.8789521128249
15,78,182.06894410927814
16,77,190.25893610573138
17,82,198.4489281021846
18,56,206.6389200986378
19,47,214.82891209509108
20,50,223.0189040915443
21,22,231.20889608799752
22,19,239.3988880844508
23,18,247.588880080904
0,16,59.2190641624796
1,15,67.40905615893283
2,8,75.59904815538607
3,2,83.7890401518393
4,2,91.97903214829253
5,1,100.16902414474578
6,5,108.359016141199
7,9,116.54900813765224
8,30,124.73900013410548
9,39,132.9289921305587
10,50,141.11898412701197
11,55,149.3089761234652
12,70,157.4989681199184
13,80,165.68896011637167
14,74,173.8789521128249
15,72,182.06894410927814
16,76,190.25893610573138
17,67,198.4489281021846
18,85,206.6389200986378
19,58,214.82891209509108
20,29,223.0189040915443
21,24,231.20889608799752
22,13,239.3988880844508
23,3,247.588880080904
12,3,157.4989681199184
13,22,165.68896011637167
14,26,173.8789521128249
15,32,182.06894410927814
16,61,190.25893610573138
17,124,198.4489281021846
18,132,206.6389200986378
19,98,214.82891209509108
20,83,223.0189040915443
21,41,231.20889608799752
22,33,239.3988880844508
23,19,247.588880080904
0,3,59.2190641624796
1,6,67.40905615893283
2,3,75.59904815538607
4,1,91.97903214829253
5,7,100.16902414474578
6,32,108.359016141199
7,89,116.54900813765224
8,196,124.73900013410548
9,107,132.9289921305587
10,46,141.11898412701197
11,47,149.3089761234652
12,65,157.4989681199184
13,67,165.68896011637167
14,68,173.8789521128249
15,78,182.06894410927814
16,94,190.25893610573138
17,190,198.4489281021846
18,156,206.6389200986378
19,108,214.82891209509108
20,74,223.0189040915443
21,55,231.20889608799752
22,53,239.3988880844508
23,27,247.588880080904
0,8,59.2190641624796
1,3,67.40905615893283
2,2,75.59904815538607
3,1,83.7890401518393
4,1,91.97903214829253
5,6,100.16902414474578
6,35,108.359016141199
7,100,116.54900813765224
8,247,124.73900013410548
9,140,132.9289921305587
10,56,141.11898412701197
11,63,149.3089761234652
12,77,157.4989681199184
13,86,165.68896011637167
14,75,173.8789521128249
15,62,182.06894410927814
16,83,190.25893610573138
17,207,198.4489281021846
18,184,206.6389200986378
19,146,214.82891209509108
20,124,223.0189040915443
21,54,231.20889608799752
22,56,239.3988880844508
23,28,247.588880080904
0,20,59.2190641624796
1,6,67.40905615893283
2,2,75.59904815538607
3,1,83.7890401518393
4,1,91.97903214829253
5,4,100.16902414474578
6,27,108.359016141199
7,66,116.54900813765224
8,210,124.73900013410548
9,159,132.9289921305587
10,57,141.11898412701197
11,53,149.3089761234652
12,67,157.4989681199184
13,65,165.68896011637167
14,56,173.8789521128249
15,61,182.06894410927814
16,97,190.25893610573138
17,151,198.4489281021846
18,119,206.6389200986378
19,93,214.82891209509108
20,52,223.0189040915443
21,41,231.20889608799752
22,33,239.3988880844508
23,27,247.588880080904
0,13,59.2190641624796
1,9,67.40905615893283
2,11,75.59904815538607
3,6,83.7890401518393
4,3,91.97903214829253
6,2,108.359016141199
7,8,116.54900813765224
8,26,124.73900013410548
9,37,132.9289921305587
10,50,141.11898412701197
11,59,149.3089761234652
12,60,157.4989681199184
13,72,165.68896011637167
14,64,173.8789521128249
15,93,182.06894410927814
16,72,190.25893610573138
17,59,198.4489281021846
18,54,206.6389200986378
19,53,214.82891209509108
20,44,223.0189040915443
21,39,231.20889608799752
22,23,239.3988880844508
23,31,247.588880080904
0,20,59.2190641624796
1,12,67.40905615893283
2,15,75.59904815538607
3,4,83.7890401518393
5,3,100.16902414474578
6,1,108.359016141199
7,1,116.54900813765224
8,17,124.73900013410548
9,25,132.9289921305587
10,51,141.11898412701197
11,77,149.3089761234652
12,92,157.4989681199184
13,75,165.68896011637167
14,93,173.8789521128249
15,64,182.06894410927814
16,56,190.25893610573138
17,50,198.4489281021846
18,44,206.6389200986378
19,45,214.82891209509108
20,31,223.0189040915443
21,20,231.20889608799752
22,23,239.3988880844508
23,17,247.588880080904
0,7,59.2190641624796
1,1,67.40905615893283
3,1,83.7890401518393
4,1,91.97903214829253
5,5,100.16902414474578
6,15,108.359016141199
7,79,116.54900813765224
8,171,124.73900013410548
9,98,132.9289921305587
10,34,141.11898412701197
11,43,149.3089761234652
12,52,157.4989681199184
13,54,165.68896011637167
14,43,173.8789521128249
15,50,182.06894410927814
16,66,190.25893610573138
17,178,198.4489281021846
18,145,206.6389200986378
19,101,214.82891209509108
20,80,223.0189040915443
21,53,231.20889608799752
22,32,239.3988880844508
23,21,247.588880080904
0,6,59.2190641624796
1,5,67.40905615893283
2,2,75.59904815538607
4,1,91.97903214829253
5,9,100.16902414474578
6,35,108.359016141199
7,103,116.54900813765224
8,233,124.73900013410548
9,134,132.9289921305587
10,49,141.11898412701197
11,55,149.3089761234652
12,85,157.4989681199184
13,72,165.68896011637167
14,57,173.8789521128249
15,63,182.06894410927814
16,102,190.25893610573138
17,208,198.4489281021846
18,218,206.6389200986378
19,133,214.82891209509108
20,103,223.0189040915443
21,40,231.20889608799752
22,49,239.3988880844508
23,37,247.588880080904
0,14,59.2190641624796
1,5,67.40905615893283
2,7,75.59904815538607
5,1,100.16902414474578
6,8,108.359016141199
7,29,116.54900813765224
8,69,124.73900013410548
9,55,132.9289921305587
10,26,141.11898412701197
11,35,149.3089761234652
12,41,157.4989681199184
13,43,165.68896011637167
14,36,173.8789521128249
15,42,182.06894410927814
16,35,190.25893610573138
17,26,198.4489281021846
16,23,190.25893610573138
17,82,198.4489281021846
18,101,206.6389200986378
19,76,214.82891209509108
20,55,223.0189040915443
21,36,231.20889608799752
22,27,239.3988880844508
23,16,247.588880080904
0,9,59.2190641624796
1,2,67.40905615893283
2,2,75.59904815538607
3,0,83.7890401518393
5,4,100.16902414474578
6,16,108.359016141199
7,58,116.54900813765224
8,155,124.73900013410548
9,95,132.9289921305587
10,49,141.11898412701197
11,30,149.3089761234652
12,28,157.4989681199184
13,31,165.68896011637167
14,36,173.8789521128249
15,40,182.06894410927814
16,70,190.25893610573138
17,147,198.4489281021846
18,107,206.6389200986378
19,84,214.82891209509108
20,61,223.0189040915443
21,57,231.20889608799752
22,26,239.3988880844508
23,22,247.588880080904
0,26,59.2190641624796
1,20,67.40905615893283
2,15,75.59904815538607
3,5,83.7890401518393
4,2,91.97903214829253
6,2,108.359016141199
7,4,116.54900813765224
8,31,124.73900013410548
9,34,132.9289921305587
10,51,141.11898412701197
11,60,149.3089761234652
12,66,157.4989681199184
13,56,165.68896011637167
14,89,173.8789521128249
15,98,182.06894410927814
16,88,190.25893610573138
17,82,198.4489281021846
18,59,206.6389200986378
19,52,214.82891209509108
20,42,223.0189040915443
21,35,231.20889608799752
22,28,239.3988880844508
23,30,247.588880080904
0,33,59.2190641624796
1,22,67.40905615893283
2,10,75.59904815538607
3,7,83.7890401518393
4,1,91.97903214829253
5,3,100.16902414474578
7,3,116.54900813765224
8,11,124.73900013410548
9,34,132.9289921305587
10,57,141.11898412701197
11,50,149.3089761234652
12,87,157.4989681199184
13,71,165.68896011637167
14,104,173.8789521128249
15,95,182.06894410927814
16,104,190.25893610573138
17,71,198.4489281021846
18,57,206.6389200986378
19,46,214.82891209509108
20,30,223.0189040915443
21,25,231.20889608799752
22,19,239.3988880844508
23,16,247.588880080904
0,6,59.2190641624796
1,5,67.40905615893283
2,1,75.59904815538607
3,2,83.7890401518393
4,2,91.97903214829253
5,8,100.16902414474578
6,37,108.359016141199
7,71,116.54900813765224
8,182,124.73900013410548
9,112,132.9289921305587
10,68,141.11898412701197
11,46,149.3089761234652
12,62,157.4989681199184
13,52,165.68896011637167
14,85,173.8789521128249
15,41,182.06894410927814
16,83,190.25893610573138
17,155,198.4489281021846
18,153,206.6389200986378
19,108,214.82891209509108
20,78,223.0189040915443
21,53,231.20889608799752
22,34,239.3988880844508
23,15,247.588880080904
0,6,59.2190641624796
1,3,67.40905615893283
2,2,75.59904815538607
3,2,83.7890401518393
5,3,100.16902414474578
6,22,108.359016141199
7,52,116.54900813765224
8,132,124.73900013410548
9,114,132.9289921305587
10,47,141.11898412701197
11,49,149.3089761234652
12,53,157.4989681199184
13,49,165.68896011637167
14,49,173.8789521128249
15,45,182.06894410927814
16,61,190.25893610573138
17,172,198.4489281021846
18,165,206.6389200986378
19,105,214.82891209509108
20,69,223.0189040915443
21,64,231.20889608799752
22,34,239.3988880844508
23,15,247.588880080904
0,2,59.2190641624796
1,3,67.40905615893283
2,0,75.59904815538607
3,1,83.7890401518393
4,1,91.97903214829253
5,3,100.16902414474578
6,17,108.359016141199
7,48,116.54900813765224
8,154,124.73900013410548
9,119,132.9289921305587
10,59,141.11898412701197
11,47,149.3089761234652
12,61,157.4989681199184
13,74,165.68896011637167
14,61,173.8789521128249
15,66,182.06894410927814
16,95,190.25893610573138
17,183,198.4489281021846
18,175,206.6389200986378
19,88,214.82891209509108
20,71,223.0189040915443
21,62,231.20889608799752
22,35,239.3988880844508
23,29,247.588880080904
0,11,59.2190641624796
1,5,67.40905615893283
2,2,75.59904815538607
3,1,83.7890401518393
5,2,100.16902414474578
6,39,108.359016141199
7,86,116.54900813765224
8,184,124.73900013410548
9,127,132.9289921305587
10,50,141.11898412701197
11,55,149.3089761234652
12,67,157.4989681199184
13,47,165.68896011637167
14,43,173.8789521128249
15,56,182.06894410927814
16,73,190.25893610573138
17,170,198.4489281021846
18,145,206.6389200986378
19,92,214.82891209509108
20,108,223.0189040915443
21,53,231.20889608799752
22,39,239.3988880844508
23,34,247.588880080904
0,10,59.2190641624796
1,7,67.40905615893283
2,1,75.59904815538607
3,1,83.7890401518393
5,7,100.16902414474578
6,26,108.359016141199
7,87,116.54900813765224
8,217,124.73900013410548
9,124,132.9289921305587
10,46,141.11898412701197
11,61,149.3089761234652
12,78,157.4989681199184
13,73,165.68896011637167
14,76,173.8789521128249
15,81,182.06894410927814
16,91,190.25893610573138
17,195,198.4489281021846
18,152,206.6389200986378
19,102,214.82891209509108
20,69,223.0189040915443
21,41,231.20889608799752
22,45,239.3988880844508
23,30,247.588880080904
0,36,59.2190641624796
1,17,67.40905615893283
2,12,75.59904815538607
3,10,83.7890401518393
4,8,91.97903214829253
5,9,100.16902414474578
6,4,108.359016141199
7,4,116.54900813765224
8,10,124.73900013410548
9,17,132.9289921305587
10,31,141.11898412701197
11,46,149.3089761234652
12,42,157.4989681199184
13,62,165.68896011637167
14,50,173.8789521128249
15,49,182.06894410927814
16,63,190.25893610573138
17,64,198.4489281021846
18,81,206.6389200986378
19,78,214.82891209509108
20,64,223.0189040915443
21,53,231.20889608799752
22,43,239.3988880844508
23,52,247.588880080904
0,37,59.2190641624796
1,40,67.40905615893283
2,20,75.59904815538607
3,10,83.7890401518393
4,2,91.97903214829253
5,1,100.16902414474578
6,1,108.359016141199
7,8,116.54900813765224
8,21,124.73900013410548
9,38,132.9289921305587
10,74,141.11898412701197
11,89,149.3089761234652
12,126,157.4989681199184
13,135,165.68896011637167
14,114,173.8789521128249
15,130,182.06894410927814
16,115,190.25893610573138
17,97,198.4489281021846
18,65,206.6389200986378
19,20,214.82891209509108
20,21,223.0189040915443
21,22,231.20889608799752
22,57,239.3988880844508
23,26,247.588880080904
0,14,59.2190641624796
1,4,67.40905615893283
2,3,75.59904815538607
3,1,83.7890401518393
4,1,91.97903214829253
5,9,100.16902414474578
6,29,108.359016141199
7,89,116.54900813765224
8,223,124.73900013410548
9,115,132.9289921305587
10,49,141.11898412701197
11,36,149.3089761234652
12,59,157.4989681199184
13,54,165.68896011637167
14,52,173.8789521128249
15,46,182.06894410927814
16,98,190.25893610573138
17,207,198.4489281021846
18,170,206.6389200986378
19,123,214.82891209509108
20,82,223.0189040915443
21,75,231.20889608799752
22,34,239.3988880844508
23,19,247.588880080904
0,6,59.2190641624796
1,4,67.40905615893283
2,1,75.59904815538607
3,1,83.7890401518393
4,3,91.97903214829253
5,2,100.16902414474578
6,39,108.359016141199
7,97,116.54900813765224
8,236,124.73900013410548
9,128,132.9289921305587
10,44,141.11898412701197
11,49,149.3089761234652
12,63,157.4989681199184
13,48,165.68896011637167
14,61,173.8789521128249
15,45,182.06894410927814
16,79,190.25893610573138
17,172,198.4489281021846
18,151,206.6389200986378
19,100,214.82891209509108
20,53,223.0189040915443
21,46,231.20889608799752
22,29,239.3988880844508
23,9,247.588880080904
0,17,59.2190641624796
1,7,67.40905615893283
2,2,75.59904815538607
3,2,83.7890401518393
5,7,100.16902414474578
6,43,108.359016141199
7,95,116.54900813765224
8,198,124.73900013410548
9,119,132.9289921305587
10,51,141.11898412701197
11,40,149.3089761234652
12,57,157.4989681199184
13,67,165.68896011637167
14,56,173.8789521128249
15,61,182.06894410927814
16,72,190.25893610573138
17,157,198.4489281021846
18,168,206.6389200986378
19,87,214.82891209509108
20,84,223.0189040915443
21,83,231.20889608799752
22,42,239.3988880844508
23,37,247.588880080904
0,16,59.2190641624796
1,7,67.40905615893283
2,3,75.59904815538607
4,1,91.97903214829253
5,6,100.16902414474578
6,26,108.359016141199
7,99,116.54900813765224
8,173,124.73900013410548
9,121,132.9289921305587
10,34,141.11898412701197
11,44,149.3089761234652
12,65,157.4989681199184
13,59,165.68896011637167
14,42,173.8789521128249
15,50,182.06894410927814
16,76,190.25893610573138
17,159,198.4489281021846
18,157,206.6389200986378
19,110,214.82891209509108
20,93,223.0189040915443
21,70,231.20889608799752
22,47,239.3988880844508
23,33,247.588880080904
0,12,59.2190641624796
1,6,67.40905615893283
2,3,75.59904815538607
5,4,100.16902414474578
6,23,108.359016141199
7,73,116.54900813765224
8,212,124.73900013410548
9,132,132.9289921305587
10,39,141.11898412701197
11,52,149.3089761234652
12,64,157.4989681199184
13,89,165.68896011637167
14,67,173.8789521128249
15,62,182.06894410927814
16,111,190.25893610573138
17,193,198.4489281021846
18,165,206.6389200986378
19,94,214.82891209509108
20,61,223.0189040915443
21,46,231.20889608799752
22,41,239.3988880844508
23,48,247.588880080904
0,27,59.2190641624796
1,22,67.40905615893283
2,13,75.59904815538607
3,7,83.7890401518393
4,4,91.97903214829253
5,1,100.16902414474578
6,1,108.359016141199
7,9,116.54900813765224
8,28,124.73900013410548
9,38,132.9289921305587
10,71,141.11898412701197
11,84,149.3089761234652
12,93,157.4989681199184
13,103,165.68896011637167
14,90,173.8789521128249
15,127,182.06894410927814
16,103,190.25893610573138
17,113,198.4489281021846
18,60,206.6389200986378
19,39,214.82891209509108
20,39,223.0189040915443
21,42,231.20889608799752
22,39,239.3988880844508
23,31,247.588880080904
0,34,59.2190641624796
1,23,67.40905615893283
2,19,75.59904815538607
3,8,83.7890401518393
4,2,91.97903214829253
6,3,108.359016141199
7,3,116.54900813765224
8,11,124.73900013410548
9,35,132.9289921305587
10,86,141.11898412701197
11,86,149.3089761234652
12,94,157.4989681199184
13,92,165.68896011637167
14,110,173.8789521128249
15,122,182.06894410927814
16,106,190.25893610573138
17,95,198.4489281021846
18,78,206.6389200986378
19,50,214.82891209509108
20,32,223.0189040915443
21,45,231.20889608799752
22,31,239.3988880844508
23,27,247.588880080904
0,8,59.2190641624796
1,6,67.40905615893283
2,2,75.59904815538607
3,1,83.7890401518393
4,2,91.97903214829253
5,3,100.16902414474578
6,25,108.359016141199
7,96,116.54900813765224
8,249,124.73900013410548
9,122,132.9289921305587
10,46,141.11898412701197
11,43,149.3089761234652
12,99,157.4989681199184
13,93,165.68896011637167
14,76,173.8789521128249
15,71,182.06894410927814
16,102,190.25893610573138
17,218,198.4489281021846
18,194,206.6389200986378
19,86,214.82891209509108
20,65,223.0189040915443
21,35,231.20889608799752
22,44,239.3988880844508
23,19,247.588880080904
0,12,59.2190641624796
1,5,67.40905615893283
2,2,75.59904815538607
4,1,91.97903214829253
5,4,100.16902414474578
6,30,108.359016141199
7,103,116.54900813765224
8,213,124.73900013410548
9,108,132.9289921305587
10,47,141.11898412701197
11,46,149.3089761234652
12,65,157.4989681199184
13,68,165.68896011637167
14,69,173.8789521128249
15,74,182.06894410927814
16,77,190.25893610573138
17,191,198.4489281021846
18,198,206.6389200986378
19,142,214.82891209509108
20,98,223.0189040915443
21,61,231.20889608799752
22,41,239.3988880844508
23,20,247.588880080904
0,15,59.2190641624796
1,9,67.40905615893283
3,1,83.7890401518393
4,1,91.97903214829253
5,5,100.16902414474578
6,32,108.359016141199
7,103,116.54900813765224
8,224,124.73900013410548
9,122,132.9289921305587
10,55,141.11898412701197
11,59,149.3089761234652
12,72,157.4989681199184
13,80,165.68896011637167
14,65,173.8789521128249
15,82,182.06894410927814
16,96,190.25893610573138
17,244,198.4489281021846
18,202,206.6389200986378
19,143,214.82891209509108
20,108,223.0189040915443
21,87,231.20889608799752
22,61,239.3988880844508
23,31,247.588880080904
0,16,59.2190641624796
1,6,67.40905615893283
2,4,75.59904815538607
3,1,83.7890401518393
4,1,91.97903214829253
5,11,100.16902414474578
6,44,108.359016141199
7,119,116.54900813765224
8,267,124.73900013410548
9,163,132.9289921305587
10,70,141.11898412701197
11,71,149.3089761234652
12,86,157.4989681199184
13,108,165.68896011637167
14,55,173.8789521128249
15,91,182.06894410927814
16,117,190.25893610573138
17,256,198.4489281021846
18,211,206.6389200986378
19,161,214.82891209509108
20,131,223.0189040915443
21,119,231.20889608799752
22,68,239.3988880844508
23,40,247.588880080904
0,20,59.2190641624796
1,7,67.40905615893283
2,5,75.59904815538607
3,6,83.7890401518393
4,1,91.97903214829253
5,6,100.16902414474578
6,48,108.359016141199
7,108,116.54900813765224
8,246,124.73900013410548
9,154,132.9289921305587
10,78,141.11898412701197
11,82,149.3089761234652
12,126,157.4989681199184
13,131,165.68896011637167
14,118,173.8789521128249
15,117,182.06894410927814
16,164,190.25893610573138
17,275,198.4489281021846
18,195,206.6389200986378
19,146,214.82891209509108
20,105,223.0189040915443
21,61,231.20889608799752
22,88,239.3988880844508
23,61,247.588880080904
0,23,59.2190641624796
1,21,67.40905615893283
2,14,75.59904815538607
3,7,83.7890401518393
4,3,91.97903214829253
5,3,100.16902414474578
6,3,108.359016141199
7,16,116.54900813765224
8,36,124.73900013410548
9,37,132.9289921305587
10,72,141.11898412701197
11,76,149.3089761234652
12,81,157.4989681199184
13,103,165.68896011637167
14,94,173.8789521128249
15,87,182.06894410927814
16,81,190.25893610573138
17,91,198.4489281021846
18,67,206.6389200986378
19,54,214.82891209509108
20,38,223.0189040915443
21,29,231.20889608799752
22,42,239.3988880844508
23,25,247.588880080904
0,14,59.2190641624796
1,11,67.40905615893283
2,17,75.59904815538607
3,9,83.7890401518393
4,1,91.97903214829253
6,1,108.359016141199
7,2,116.54900813765224
8,22,124.73900013410548
9,48,132.9289921305587
10,70,141.11898412701197
11,89,149.3089761234652
12,120,157.4989681199184
13,122,165.68896011637167
14,104,173.8789521128249
15,102,182.06894410927814
16,88,190.25893610573138
17,86,198.4489281021846
18,71,206.6389200986378
19,39,214.82891209509108
20,30,223.0189040915443
21,39,231.20889608799752
22,43,239.3988880844508
23,45,247.588880080904
0,30,59.2190641624796
1,11,67.40905615893283
2,3,75.59904815538607
3,3,83.7890401518393
4,0,91.97903214829253
5,2,100.16902414474578
6,6,108.359016141199
7,16,116.54900813765224
8,56,124.73900013410548
9,46,132.9289921305587
10,52,141.11898412701197
11,70,149.3089761234652
12,67,157.4989681199184
13,75,165.68896011637167
14,101,173.8789521128249
