atemp,casual,Predicted Y
0.2576,1,7.252638660581454
0.2727,0,9.219847797812001
0.2576,1,7.252638660581454
0.2273,2,3.305192511039362
0.2576,0,7.252638660581454
0.197,0,-0.64225363850273
0.197,0,-0.64225363850273
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.197,0,-0.64225363850273
0.1818,1,-2.6224906508142745
0.1818,3,-2.6224906508142745
0.197,6,-0.64225363850273
0.197,4,-0.64225363850273
0.2273,12,3.305192511039362
0.2273,5,3.305192511039362
0.2576,6,7.252638660581454
0.2879,10,11.200084810123542
0.2879,7,11.200084810123542
0.3182,4,15.14753095966563
0.2273,4,3.305192511039362
0.2424,3,5.272401648269909
0.2576,5,7.252638660581454
0.2273,7,3.305192511039362
0.197,3,-0.64225363850273
0.197,1,-0.64225363850273
0.2576,1,7.252638660581454
0.2424,0,5.272401648269909
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.197,0,-0.64225363850273
0.1818,0,-2.6224906508142745
0.1667,0,-4.589699788044822
0.2273,0,3.305192511039362
0.2273,3,3.305192511039362
0.2424,6,5.272401648269909
0.2576,3,7.252638660581454
0.2576,2,7.252638660581454
0.2879,6,11.200084810123542
0.2727,12,9.219847797812001
0.2727,11,9.219847797812001
0.2727,8,9.219847797812001
0.2576,12,7.252638660581454
0.2273,9,3.305192511039362
0.2273,5,3.305192511039362
0.2576,3,7.252638660581454
0.2121,3,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,1,1.3249554987278174
0.197,4,-0.64225363850273
0.197,4,-0.64225363850273
0.197,2,-0.64225363850273
0.197,0,-0.64225363850273
0.2121,0,1.3249554987278174
0.2727,0,9.219847797812001
0.2576,8,7.252638660581454
0.2121,8,1.3249554987278174
0.197,20,-0.64225363850273
0.1818,9,-2.6224906508142745
0.197,16,-0.64225363850273
0.197,19,-0.64225363850273
0.197,9,-0.64225363850273
0.1818,9,-2.6224906508142745
0.197,7,-0.64225363850273
0.2121,9,1.3249554987278174
0.2121,5,1.3249554987278174
0.2576,9,7.252638660581454
0.2273,7,3.305192511039362
0.197,3,-0.64225363850273
0.2121,1,1.3249554987278174
0.197,0,-0.64225363850273
0.197,2,-0.64225363850273
0.197,1,-0.64225363850273
0.197,1,-0.64225363850273
0.2121,1,1.3249554987278174
0.2424,3,5.272401648269909
0.197,0,-0.64225363850273
0.197,0,-0.64225363850273
0.1667,0,-4.589699788044822
0.1667,0,-4.589699788044822
0.1818,1,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.197,5,-0.64225363850273
0.1818,2,-2.6224906508142745
0.1818,8,-2.6224906508142745
0.1818,7,-2.6224906508142745
0.1667,12,-4.589699788044822
0.1667,5,-4.589699788044822
0.1364,8,-8.537145937586914
0.1212,5,-10.517382949898456
0.1212,3,-10.517382949898456
0.1212,4,-10.517382949898456
0.1212,0,-10.517382949898456
0.1061,2,-12.484592087129004
0.1061,1,-12.484592087129004
0.0606,0,-18.41227524898264
0.0758,1,-16.432038236671094
0.0606,0,-18.41227524898264
0.0606,0,-18.41227524898264
0.0758,0,-16.432038236671094
0.0909,0,-14.464829099440548
0.0909,0,-14.464829099440548
0.0909,0,-14.464829099440548
0.0909,1,-14.464829099440548
0.0909,0,-14.464829099440548
0.0758,0,-16.432038236671094
0.1061,0,-12.484592087129004
0.1212,2,-10.517382949898456
0.1364,4,-8.537145937586914
0.1667,6,-4.589699788044822
0.1818,8,-2.6224906508142745
0.197,5,-0.64225363850273
0.1667,13,-4.589699788044822
0.1515,3,-6.569936800356366
0.1364,4,-8.537145937586914
0.1364,1,-8.537145937586914
0.1212,0,-10.517382949898456
0.1061,1,-12.484592087129004
0.1212,5,-10.517382949898456
0.1364,0,-8.537145937586914
0.1212,2,-10.517382949898456
0.1212,1,-10.517382949898456
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1212,1,-10.517382949898456
0.1061,0,-12.484592087129004
0.1212,0,-10.517382949898456
0.1212,2,-10.517382949898456
0.1212,4,-10.517382949898456
0.1212,2,-10.517382949898456
0.1212,0,-10.517382949898456
0.1364,2,-8.537145937586914
0.1818,5,-2.6224906508142745
0.1818,4,-2.6224906508142745
0.197,0,-0.64225363850273
0.197,2,-0.64225363850273
0.2121,4,1.3249554987278174
0.2273,4,3.305192511039362
0.197,1,-0.64225363850273
0.1667,3,-4.589699788044822
0.1667,1,-4.589699788044822
0.1364,1,-8.537145937586914
0.1515,2,-6.569936800356366
0.1515,0,-6.569936800356366
0.1667,2,-4.589699788044822
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1818,0,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.2273,2,3.305192511039362
0.2121,3,1.3249554987278174
0.197,3,-0.64225363850273
0.2121,3,1.3249554987278174
0.2121,4,1.3249554987278174
0.2273,2,3.305192511039362
0.2273,6,3.305192511039362
0.2273,3,3.305192511039362
0.197,2,-0.64225363850273
0.1515,4,-6.569936800356366
0.1515,6,-6.569936800356366
0.1818,1,-2.6224906508142745
0.2273,0,3.305192511039362
0.1515,0,-6.569936800356366
0.197,0,-0.64225363850273
0.1818,1,-2.6224906508142745
0.197,1,-0.64225363850273
0.197,0,-0.64225363850273
0.1818,0,-2.6224906508142745
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1667,3,-4.589699788044822
0.1364,3,-8.537145937586914
0.1818,0,-2.6224906508142745
0.1818,3,-2.6224906508142745
0.1515,3,-6.569936800356366
0.197,0,-0.64225363850273
0.1818,0,-2.6224906508142745
0.1667,1,-4.589699788044822
0.197,5,-0.64225363850273
0.1818,0,-2.6224906508142745
0.1515,2,-6.569936800356366
0.1515,1,-6.569936800356366
0.1364,2,-8.537145937586914
0.1364,0,-8.537145937586914
0.1212,1,-10.517382949898456
0.1061,1,-12.484592087129004
0.1212,1,-10.517382949898456
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1364,5,-8.537145937586914
0.1212,2,-10.517382949898456
0.1364,2,-8.537145937586914
0.1667,4,-4.589699788044822
0.1667,3,-4.589699788044822
0.197,2,-0.64225363850273
0.197,3,-0.64225363850273
0.2121,5,1.3249554987278174
0.2121,2,1.3249554987278174
0.1818,4,-2.6224906508142745
0.1818,3,-2.6224906508142745
0.1515,1,-6.569936800356366
0.1515,0,-6.569936800356366
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1364,1,-8.537145937586914
0.1364,0,-8.537145937586914
0.1212,0,-10.517382949898456
0.1212,0,-10.517382949898456
0.1364,0,-8.537145937586914
0.1364,0,-8.537145937586914
0.1818,0,-2.6224906508142745
0.1212,0,-10.517382949898456
0.1667,2,-4.589699788044822
0.1515,0,-6.569936800356366
0.1818,4,-2.6224906508142745
0.1667,6,-4.589699788044822
0.197,2,-0.64225363850273
0.197,4,-0.64225363850273
0.2121,5,1.3249554987278174
0.2424,9,5.272401648269909
0.2424,3,5.272401648269909
0.2273,4,3.305192511039362
0.2576,5,7.252638660581454
0.197,3,-0.64225363850273
0.2424,0,5.272401648269909
0.2273,4,3.305192511039362
0.2273,2,3.305192511039362
0.2424,1,5.272401648269909
0.2424,3,5.272401648269909
0.197,2,-0.64225363850273
0.197,0,-0.64225363850273
0.2273,1,3.305192511039362
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.1667,1,-4.589699788044822
0.2121,1,1.3249554987278174
0.1515,1,-6.569936800356366
0.1818,2,-2.6224906508142745
0.197,2,-0.64225363850273
0.197,18,-0.64225363850273
0.2273,15,3.305192511039362
0.2576,21,7.252638660581454
0.2879,26,11.200084810123542
0.3182,21,15.14753095966563
0.3333,33,17.114740096896178
0.303,29,13.16729394735409
0.2879,15,11.200084810123542
0.303,14,13.16729394735409
0.303,6,13.16729394735409
0.303,6,13.16729394735409
0.3182,0,15.14753095966563
0.2879,5,11.200084810123542
0.303,6,13.16729394735409
0.2727,4,9.219847797812001
0.2879,3,11.200084810123542
0.2727,9,9.219847797812001
0.2576,0,7.252638660581454
0.2576,1,7.252638660581454
0.2576,0,7.252638660581454
0.2121,0,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,3,1.3249554987278174
0.2121,8,1.3249554987278174
0.2273,23,3.305192511039362
0.2121,29,1.3249554987278174
0.2273,23,3.305192511039362
0.2727,22,9.219847797812001
0.2424,35,5.272401648269909
0.2273,22,3.305192511039362
0.2121,23,1.3249554987278174
0.2121,11,1.3249554987278174
0.197,14,-0.64225363850273
0.197,7,-0.64225363850273
0.197,6,-0.64225363850273
0.2121,2,1.3249554987278174
0.2273,0,3.305192511039362
0.197,1,-0.64225363850273
0.197,1,-0.64225363850273
0.1667,0,-4.589699788044822
0.1818,0,-2.6224906508142745
0.197,1,-0.64225363850273
0.197,0,-0.64225363850273
0.1818,0,-2.6224906508142745
0.1818,4,-2.6224906508142745
0.1515,3,-6.569936800356366
0.1515,8,-6.569936800356366
0.1515,7,-6.569936800356366
0.1515,9,-6.569936800356366
0.197,10,-0.64225363850273
0.197,13,-0.64225363850273
0.2121,12,1.3249554987278174
0.2121,21,1.3249554987278174
0.2121,6,1.3249554987278174
0.197,4,-0.64225363850273
0.1667,7,-4.589699788044822
0.1818,2,-2.6224906508142745
0.1515,4,-6.569936800356366
0.1515,3,-6.569936800356366
0.1212,0,-10.517382949898456
0.1364,1,-8.537145937586914
0.1818,0,-2.6224906508142745
0.197,0,-0.64225363850273
0.2273,2,3.305192511039362
0.2273,3,3.305192511039362
0.2273,0,3.305192511039362
0.2273,1,3.305192511039362
0.2273,1,3.305192511039362
0.2273,1,3.305192511039362
0.2727,0,9.219847797812001
0.2424,0,5.272401648269909
0.2576,0,7.252638660581454
0.2727,1,9.219847797812001
0.2727,0,9.219847797812001
0.2273,1,3.305192511039362
0.2273,0,3.305192511039362
0.2273,1,3.305192511039362
0.2576,0,7.252638660581454
0.2576,0,7.252638660581454
0.2576,1,7.252638660581454
0.2576,1,7.252638660581454
0.2576,2,7.252638660581454
0.2727,1,9.219847797812001
0.303,5,13.16729394735409
0.3182,5,15.14753095966563
0.4091,11,26.98986940829191
0.4091,7,26.98986940829191
0.4091,4,26.98986940829191
0.3939,10,25.00963239598036
0.3333,7,17.114740096896178
0.3182,5,15.14753095966563
0.2879,4,11.200084810123542
0.303,2,13.16729394735409
0.2879,4,11.200084810123542
0.303,6,13.16729394735409
0.2727,1,9.219847797812001
0.2273,5,3.305192511039362
0.2727,2,9.219847797812001
0.2727,0,9.219847797812001
0.2576,0,7.252638660581454
0.2576,0,7.252638660581454
0.2273,0,3.305192511039362
0.2121,0,1.3249554987278174
0.2121,1,1.3249554987278174
0.2121,2,1.3249554987278174
0.2273,3,3.305192511039362
0.2273,1,3.305192511039362
0.2727,5,9.219847797812001
0.3333,7,17.114740096896178
0.2879,12,11.200084810123542
0.303,6,13.16729394735409
0.3182,8,15.14753095966563
0.303,8,13.16729394735409
0.3182,8,15.14753095966563
0.2576,1,7.252638660581454
0.2273,6,3.305192511039362
0.2424,2,5.272401648269909
0.2273,3,3.305192511039362
0.2121,0,1.3249554987278174
0.2121,3,1.3249554987278174
0.2273,1,3.305192511039362
0.2273,0,3.305192511039362
0.2424,0,5.272401648269909
0.2121,0,1.3249554987278174
0.2576,0,7.252638660581454
0.197,1,-0.64225363850273
0.2121,0,1.3249554987278174
0.1818,2,-2.6224906508142745
0.1818,7,-2.6224906508142745
0.1818,7,-2.6224906508142745
0.1667,6,-4.589699788044822
0.1818,6,-2.6224906508142745
0.1818,11,-2.6224906508142745
0.1515,8,-6.569936800356366
0.1515,6,-6.569936800356366
0.1212,4,-10.517382949898456
0.1364,0,-8.537145937586914
0.1212,10,-10.517382949898456
0.1212,1,-10.517382949898456
0.1061,3,-12.484592087129004
0.0758,1,-16.432038236671094
0.0758,0,-16.432038236671094
0.0303,1,-22.35972139852473
0.0455,0,-20.379484386213186
0.0303,0,-22.35972139852473
0.0,3,-26.307167548066822
0.0303,0,-22.35972139852473
0.0303,1,-22.35972139852473
0.0152,0,-24.326930535755277
0.0303,0,-22.35972139852473
0.0152,0,-24.326930535755277
0.0,1,-26.307167548066822
0.0303,3,-22.35972139852473
0.0606,3,-18.41227524898264
0.0758,4,-16.432038236671094
0.1061,10,-12.484592087129004
0.1667,12,-4.589699788044822
0.1364,11,-8.537145937586914
0.1515,10,-6.569936800356366
0.1364,11,-8.537145937586914
0.197,8,-0.64225363850273
0.0909,0,-14.464829099440548
0.1061,6,-12.484592087129004
0.0758,1,-16.432038236671094
0.1061,0,-12.484592087129004
0.1515,7,-6.569936800356366
0.0758,2,-16.432038236671094
0.0758,2,-16.432038236671094
0.0758,1,-16.432038236671094
0.0606,3,-18.41227524898264
0.0606,1,-18.41227524898264
0.0758,0,-16.432038236671094
0.0758,0,-16.432038236671094
0.1061,1,-12.484592087129004
0.0758,2,-16.432038236671094
0.0758,3,-16.432038236671094
0.1061,7,-12.484592087129004
0.1364,22,-8.537145937586914
0.1212,24,-10.517382949898456
0.1061,12,-12.484592087129004
0.1364,17,-8.537145937586914
0.1364,13,-8.537145937586914
0.1364,9,-8.537145937586914
0.1061,5,-12.484592087129004
0.1212,5,-10.517382949898456
0.1212,5,-10.517382949898456
0.1061,4,-12.484592087129004
0.1061,5,-12.484592087129004
0.0909,5,-14.464829099440548
0.0606,4,-18.41227524898264
0.0606,0,-18.41227524898264
0.0455,0,-20.379484386213186
0.0303,0,-22.35972139852473
0.0606,0,-18.41227524898264
0.0606,0,-18.41227524898264
0.0758,0,-16.432038236671094
0.1212,5,-10.517382949898456
0.1364,6,-8.537145937586914
0.1515,4,-6.569936800356366
0.1364,6,-8.537145937586914
0.1212,3,-10.517382949898456
0.1364,11,-8.537145937586914
0.1364,6,-8.537145937586914
0.1364,2,-8.537145937586914
0.1667,7,-4.589699788044822
0.1515,4,-6.569936800356366
0.1212,6,-10.517382949898456
0.1364,8,-8.537145937586914
0.1515,5,-6.569936800356366
0.1364,1,-8.537145937586914
0.1515,6,-6.569936800356366
0.1364,3,-8.537145937586914
0.1515,3,-6.569936800356366
0.1364,3,-8.537145937586914
0.1667,0,-4.589699788044822
0.1515,0,-6.569936800356366
0.1667,0,-4.589699788044822
0.1364,0,-8.537145937586914
0.1818,1,-2.6224906508142745
0.1515,5,-6.569936800356366
0.1818,5,-2.6224906508142745
0.2273,10,3.305192511039362
0.2424,6,5.272401648269909
0.2424,6,5.272401648269909
0.2879,21,11.200084810123542
0.2727,21,9.219847797812001
0.3333,11,17.114740096896178
0.3485,21,19.094977109207726
0.3485,14,19.094977109207726
0.3333,14,17.114740096896178
0.3182,7,15.14753095966563
0.2576,13,7.252638660581454
0.2273,16,3.305192511039362
0.2273,5,3.305192511039362
0.2273,4,3.305192511039362
0.2273,3,3.305192511039362
0.2273,3,3.305192511039362
0.2424,0,5.272401648269909
0.2273,3,3.305192511039362
0.1818,0,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.2121,1,1.3249554987278174
0.2121,3,1.3249554987278174
0.2121,3,1.3249554987278174
0.2121,2,1.3249554987278174
0.197,6,-0.64225363850273
0.197,7,-0.64225363850273
0.197,4,-0.64225363850273
0.197,0,-0.64225363850273
0.1818,1,-2.6224906508142745
0.197,1,-0.64225363850273
0.1818,0,-2.6224906508142745
0.2273,1,3.305192511039362
0.2424,2,5.272401648269909
0.2273,3,3.305192511039362
0.2273,3,3.305192511039362
0.2121,4,1.3249554987278174
0.2121,2,1.3249554987278174
0.2121,0,1.3249554987278174
0.197,0,-0.64225363850273
0.2121,0,1.3249554987278174
0.2121,1,1.3249554987278174
0.2121,0,1.3249554987278174
0.2273,1,3.305192511039362
0.2121,0,1.3249554987278174
0.197,0,-0.64225363850273
0.197,2,-0.64225363850273
0.197,2,-0.64225363850273
0.2121,6,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,1,1.3249554987278174
0.2121,0,1.3249554987278174
0.2727,2,9.219847797812001
0.2576,1,7.252638660581454
0.2727,10,9.219847797812001
0.2424,2,5.272401648269909
0.2273,2,3.305192511039362
0.2424,5,5.272401648269909
0.2273,1,3.305192511039362
0.2273,1,3.305192511039362
0.2121,0,1.3249554987278174
0.2273,1,3.305192511039362
0.197,2,-0.64225363850273
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.2121,3,1.3249554987278174
0.1818,1,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.1818,1,-2.6224906508142745
0.197,3,-0.64225363850273
0.2121,0,1.3249554987278174
0.2121,4,1.3249554987278174
0.197,4,-0.64225363850273
0.197,12,-0.64225363850273
0.2273,9,3.305192511039362
0.2273,10,3.305192511039362
0.2121,22,1.3249554987278174
0.2424,19,5.272401648269909
0.2879,9,11.200084810123542
0.2273,9,3.305192511039362
0.2121,6,1.3249554987278174
0.2121,1,1.3249554987278174
0.2121,1,1.3249554987278174
0.197,4,-0.64225363850273
0.197,3,-0.64225363850273
0.1818,0,-2.6224906508142745
0.2121,7,1.3249554987278174
0.2273,1,3.305192511039362
0.2121,1,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,0,1.3249554987278174
0.2121,1,1.3249554987278174
0.2273,4,3.305192511039362
0.2424,7,5.272401648269909
0.2727,9,9.219847797812001
0.3182,10,15.14753095966563
0.2879,13,11.200084810123542
0.303,18,13.16729394735409
0.3333,14,17.114740096896178
0.3333,19,17.114740096896178
0.2879,6,11.200084810123542
0.2576,8,7.252638660581454
0.2576,9,7.252638660581454
0.2727,3,9.219847797812001
0.2424,3,5.272401648269909
0.2273,2,3.305192511039362
0.2121,5,1.3249554987278174
0.2273,1,3.305192511039362
0.2121,2,1.3249554987278174
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.197,0,-0.64225363850273
0.1667,0,-4.589699788044822
0.1364,0,-8.537145937586914
0.1364,1,-8.537145937586914
0.1364,3,-8.537145937586914
0.1364,0,-8.537145937586914
0.1515,1,-6.569936800356366
0.1515,2,-6.569936800356366
0.2121,6,1.3249554987278174
0.2273,2,3.305192511039362
0.197,1,-0.64225363850273
0.1818,3,-2.6224906508142745
0.1818,3,-2.6224906508142745
0.1515,6,-6.569936800356366
0.1515,3,-6.569936800356366
0.3182,3,15.14753095966563
0.1667,0,-4.589699788044822
0.197,3,-0.64225363850273
0.1818,0,-2.6224906508142745
0.197,2,-0.64225363850273
0.1818,2,-2.6224906508142745
0.1818,0,-2.6224906508142745
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.2121,0,1.3249554987278174
0.2121,0,1.3249554987278174
0.2273,0,3.305192511039362
0.2273,3,3.305192511039362
0.2273,2,3.305192511039362
0.2273,0,3.305192511039362
0.2424,2,5.272401648269909
0.2576,2,7.252638660581454
0.2576,3,7.252638660581454
0.2576,5,7.252638660581454
0.2879,7,11.200084810123542
0.2424,3,5.272401648269909
0.2879,4,11.200084810123542
0.2576,3,7.252638660581454
0.2424,3,5.272401648269909
0.2273,5,3.305192511039362
0.2273,0,3.305192511039362
0.2576,2,7.252638660581454
0.197,1,-0.64225363850273
0.2424,0,5.272401648269909
0.2273,0,3.305192511039362
0.2273,4,3.305192511039362
0.2273,0,3.305192511039362
0.2121,0,1.3249554987278174
0.2424,0,5.272401648269909
0.2424,1,5.272401648269909
0.2121,1,1.3249554987278174
0.2121,1,1.3249554987278174
0.2576,4,7.252638660581454
0.2727,2,9.219847797812001
0.2273,5,3.305192511039362
0.2273,3,3.305192511039362
0.3333,1,17.114740096896178
0.3939,2,25.00963239598036
0.3939,10,25.00963239598036
0.3333,8,17.114740096896178
0.3182,7,15.14753095966563
0.2879,7,11.200084810123542
0.2424,3,5.272401648269909
0.197,4,-0.64225363850273
0.197,1,-0.64225363850273
0.2121,5,1.3249554987278174
0.1667,3,-4.589699788044822
0.1667,1,-4.589699788044822
0.1515,0,-6.569936800356366
0.1667,0,-4.589699788044822
0.1667,0,-4.589699788044822
0.1364,0,-8.537145937586914
0.1364,0,-8.537145937586914
0.1212,1,-10.517382949898456
0.1212,4,-10.517382949898456
0.1364,6,-8.537145937586914
0.1515,2,-6.569936800356366
0.1364,9,-8.537145937586914
0.1818,2,-2.6224906508142745
0.1667,4,-4.589699788044822
0.197,4,-0.64225363850273
0.197,4,-0.64225363850273
0.2121,5,1.3249554987278174
0.197,5,-0.64225363850273
0.2121,2,1.3249554987278174
0.2576,4,7.252638660581454
0.2273,1,3.305192511039362
0.2121,1,1.3249554987278174
0.2121,2,1.3249554987278174
0.2273,4,3.305192511039362
0.2576,3,7.252638660581454
0.2273,0,3.305192511039362
0.1667,0,-4.589699788044822
0.1667,0,-4.589699788044822
0.1515,0,-6.569936800356366
0.2273,2,3.305192511039362
0.2121,0,1.3249554987278174
0.1515,3,-6.569936800356366
0.1818,3,-2.6224906508142745
0.2121,5,1.3249554987278174
0.2273,3,3.305192511039362
0.2424,8,5.272401648269909
0.2576,9,7.252638660581454
0.2727,15,9.219847797812001
0.2727,9,9.219847797812001
0.2879,8,11.200084810123542
0.2727,10,9.219847797812001
0.2576,3,7.252638660581454
0.2424,1,5.272401648269909
0.2424,2,5.272401648269909
0.2424,2,5.272401648269909
0.2424,1,5.272401648269909
0.2424,1,5.272401648269909
0.2424,3,5.272401648269909
0.2424,1,5.272401648269909
0.2424,5,5.272401648269909
0.2424,1,5.272401648269909
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.2576,0,7.252638660581454
0.2576,0,7.252638660581454
0.2273,0,3.305192511039362
0.2273,3,3.305192511039362
0.2121,3,1.3249554987278174
0.2273,1,3.305192511039362
0.2273,10,3.305192511039362
0.2273,10,3.305192511039362
0.2727,5,9.219847797812001
0.2727,11,9.219847797812001
0.2273,8,3.305192511039362
0.2121,14,1.3249554987278174
0.2424,2,5.272401648269909
0.2424,6,5.272401648269909
0.2879,5,11.200084810123542
0.2576,3,7.252638660581454
0.2727,2,9.219847797812001
0.2576,7,7.252638660581454
0.2576,2,7.252638660581454
0.2273,4,3.305192511039362
0.2273,0,3.305192511039362
0.2879,3,11.200084810123542
0.2273,0,3.305192511039362
0.2576,0,7.252638660581454
0.2576,0,7.252638660581454
0.2424,0,5.272401648269909
0.2576,2,7.252638660581454
0.2879,7,11.200084810123542
0.2879,15,11.200084810123542
0.303,28,13.16729394735409
0.3333,48,17.114740096896178
0.3636,47,21.062186246438273
0.3485,47,19.094977109207726
0.3485,52,19.094977109207726
0.3485,42,19.094977109207726
0.3636,24,21.062186246438273
0.303,13,13.16729394735409
0.2879,1,11.200084810123542
0.2879,5,11.200084810123542
0.303,5,13.16729394735409
0.303,5,13.16729394735409
0.2879,4,11.200084810123542
0.2879,1,11.200084810123542
0.2727,1,9.219847797812001
0.2576,0,7.252638660581454
0.2576,0,7.252638660581454
0.2576,1,7.252638660581454
0.2576,1,7.252638660581454
0.2424,1,5.272401648269909
0.2424,6,5.272401648269909
0.2273,7,3.305192511039362
0.2727,3,9.219847797812001
0.2576,6,7.252638660581454
0.3182,11,15.14753095966563
0.3485,7,19.094977109207726
0.3636,10,21.062186246438273
0.3636,8,21.062186246438273
0.3939,4,25.00963239598036
0.3485,16,19.094977109207726
0.3182,9,15.14753095966563
0.3333,5,17.114740096896178
0.3485,5,19.094977109207726
0.3333,6,17.114740096896178
0.3485,3,19.094977109207726
0.303,3,13.16729394735409
0.3333,6,17.114740096896178
0.3182,4,15.14753095966563
0.3182,0,15.14753095966563
0.2727,1,9.219847797812001
0.2727,0,9.219847797812001
0.2576,0,7.252638660581454
0.2273,0,3.305192511039362
0.2273,0,3.305192511039362
0.197,3,-0.64225363850273
0.197,7,-0.64225363850273
0.197,7,-0.64225363850273
0.1818,4,-2.6224906508142745
0.1818,1,-2.6224906508142745
0.197,2,-0.64225363850273
0.197,2,-0.64225363850273
0.197,3,-0.64225363850273
0.197,6,-0.64225363850273
0.1818,4,-2.6224906508142745
0.1818,4,-2.6224906508142745
0.1818,1,-2.6224906508142745
0.1212,1,-10.517382949898456
0.1364,3,-8.537145937586914
0.1061,8,-12.484592087129004
0.1061,0,-12.484592087129004
0.1061,3,-12.484592087129004
0.0758,0,-16.432038236671094
0.1061,0,-12.484592087129004
0.0758,1,-16.432038236671094
0.0758,0,-16.432038236671094
0.1061,0,-12.484592087129004
0.1515,0,-6.569936800356366
0.1061,4,-12.484592087129004
0.1364,1,-8.537145937586914
0.1364,4,-8.537145937586914
0.1818,8,-2.6224906508142745
0.1515,1,-6.569936800356366
0.1818,4,-2.6224906508142745
0.1667,2,-4.589699788044822
0.1818,2,-2.6224906508142745
0.1818,3,-2.6224906508142745
0.197,7,-0.64225363850273
0.197,9,-0.64225363850273
0.1667,2,-4.589699788044822
0.1212,1,-10.517382949898456
0.1515,0,-6.569936800356366
0.1515,0,-6.569936800356366
0.1667,4,-4.589699788044822
0.1515,0,-6.569936800356366
